股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
00150.HK,HYPEBEAS,100201,0.187,+0.017,+10.000%,80.05萬,15.05萬,無盈利,0.90,1.93%,3.81億,00150.HK,4.14,3.51,3.54%,4.64%,46.16%,2.49%,130.46%,9.23%,2024/03,00150.HK,8.96億,-6.000%,2.56千萬,2.854%,2.23千萬,2.491%,0.011,N/A,2024/03,0150.HK,381000000.0
00164.HK,中國寶力科技,100201,0.380,0.000,0.000%,32.52萬,12.16萬,無盈利,N/A,0.00%,1.11億,00164.HK,0.14,0.14,-45.07%,8.54%,17.07%,-55.66%,N/A,-68.98%,2024/03,00164.HK,5.53千萬,3.000%,-3.08千萬,-55.691%,-3.08千萬,-55.657%,-0.380,-2.703%,2024/03,0164.HK,111000000.00000001
00205.HK,財訊傳媒,100201,0.345,-0.010,-2.817%,20.13萬,6.97萬,無盈利,1.64,0.00%,4.32億,00205.HK,2.00,2.00,-6.14%,-11.23%,29.26%,-60.66%,N/A,16.34%,2023/12,00205.HK,3.84千萬,-47.000%,-3.04千萬,-79.134%,-2.33千萬,-60.656%,-0.032,75.385%,2023/12,0205.HK,432000000.0
00550.HK,律齊文化,100201,0.134,0.000,0.000%,0.00,0.00,無盈利,1.17,0.00%,6.10千萬,00550.HK,6.61,6.59,-4.22%,-4.52%,57.35%,-16.34%,N/A,0.94%,2022/12,00550.HK,5.42千萬,55.000%,-8.67百萬,-16.014%,-8.85百萬,-16.342%,-0.020,-24.528%,2022/12,0550.HK,61000000.0
00623.HK,中視金橋,100201,2.050,+0.030,+1.485%,56.80萬,1.14百萬,8.32,0.46,17.07%,9.66億,00623.HK,5.30,5.30,5.16%,5.76%,16.05%,12.74%,70.37%,0.11%,2023/12,00623.HK,8.33億,2.000%,1.09億,13.038%,1.06億,12.737%,0.230,126.735%,2023/12,0623.HK,966000000.0
00745.HK,中國國家文化產業,100201,0.540,0.000,0.000%,6.02萬,3.25萬,無盈利,2.84,0.00%,1.27億,00745.HK,1.95,1.95,-136.30%,-260.70%,19.51%,-156.61%,N/A,N/A,2024/03,00745.HK,2.79千萬,-35.000%,-4.44千萬,-159.359%,-4.37千萬,-156.612%,-0.499,"-2,752.041%",2024/03,0745.HK,127000000.0
00917.HK,趣致集團,100201,34.040,-2.300,-6.329%,2.00百萬,6.98千萬,無盈利,5.47,0.00%,90.45億,00917.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,00917.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0917.HK,9045000000.0
01000.HK,北青傳媒,100201,0.660,-0.010,-1.493%,0.00,0.00,無盈利,0.19,0.00%,3.62千萬,01000.HK,4.24,4.18,-2.15%,-2.46%,14.50%,-7.63%,N/A,0.40%,2023/12,01000.HK,2.20億,23.000%,-1.67千萬,-7.576%,-1.68千萬,-7.630%,-0.088,35.219%,2023/12,1000.HK,36200000.0
01111.HK,華視集團控股,100201,0.325,0.000,0.000%,1.07百萬,35.60萬,2.92,0.69,0.00%,2.50億,01111.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01111.HK,2.57億,N/A,1.04億,40.266%,7.12千萬,27.682%,0.107,N/A,2023/12,1111.HK,250000000.0
01163.HK,虎視傳媒,100201,0.120,-0.001,-0.826%,5.25萬,6.28千,無盈利,0.43,0.00%,1.08億,01163.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01163.HK,3.22億,-19.000%,-1.42千萬,-4.394%,-1.19千萬,-3.697%,-0.022,N/A,2023/12,1163.HK,108000000.0
01284.HK,新傳企劃,100201,0.340,0.000,0.000%,1.50萬,5.10千,15.11,1.04,12.27%,2.04億,01284.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01284.HK,2.25億,N/A,1.89千萬,8.543%,1.45千萬,6.576%,0.028,N/A,2023/12,1284.HK,204000000.0
01351.HK,輝煌明天,100201,0.570,+0.010,+1.786%,1.78百萬,98.34萬,無盈利,2.25,0.00%,3.42億,01351.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01351.HK,9.78億,95.000%,2.63千萬,2.693%,1.62千萬,1.660%,0.034,N/A,2023/12,1351.HK,342000000.0
01483.HK,網譽科技,100201,1.070,-0.010,-0.926%,5.20萬,5.51萬,無盈利,2.68,0.00%,7.91億,01483.HK,3.42,3.39,-5.92%,-10.08%,11.18%,-16.97%,N/A,1.08%,2023/12,01483.HK,2.05億,-21.000%,-4.93千萬,-24.027%,-3.48千萬,-16.972%,-0.050,75.000%,2023/12,1483.HK,791000000.0
01490.HK,車市科技,100201,0.199,0.000,0.000%,16.00萬,3.18萬,76.54,0.43,0.00%,2.46億,01490.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01490.HK,1.70億,-11.000%,4.66千萬,27.369%,4.70千萬,27.603%,0.044,288.689%,2023/12,1490.HK,246000000.0
01640.HK,千循科技,100201,3.920,-0.110,-2.730%,24.00萬,94.25萬,無盈利,13.42,0.00%,21.95億,01640.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01640.HK,4.15億,-10.000%,-3.52千萬,-8.468%,-2.57千萬,-6.198%,-0.064,-100.141%,2023/12,1640.HK,2195000000.0
01716.HK,毛記葵涌,100201,0.530,0.000,0.000%,2.60萬,1.35萬,23.35,2.77,0.00%,1.43億,01716.HK,4.15,4.12,-15.12%,-20.25%,36.18%,-16.70%,N/A,3.41%,2024/03,01716.HK,5.52千萬,39.000%,-1.03千萬,-18.699%,-9.22百萬,-16.695%,-0.034,54.834%,2024/03,1716.HK,143000000.0
01753.HK,兌吧,100201,0.245,-0.010,-3.922%,6.80千,1.67千,無盈利,0.19,0.00%,2.64億,01753.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01753.HK,12.02億,-34.000%,3.98千萬,3.308%,3.34千萬,2.777%,0.032,N/A,2023/12,1753.HK,264000000.0
01762.HK,萬咖壹聯,100201,0.840,-0.050,-5.618%,8.08百萬,7.02百萬,525.00,0.91,0.00%,14.66億,01762.HK,3.18,3.18,0.78%,1.17%,10.64%,0.74%,N/A,23.94%,2023/12,01762.HK,23.00億,-11.000%,5.33千萬,2.319%,1.70千萬,0.738%,0.011,N/A,2023/12,1762.HK,1466000000.0
01831.HK,十方控股,100201,0.234,-0.016,-6.400%,60.00萬,14.97萬,無盈利,N/A,0.00%,2.52億,01831.HK,0.67,0.57,-7.76%,-156.79%,22.03%,-65.39%,N/A,120.45%,2024/06,01831.HK,2.63千萬,-81.000%,-1.95千萬,-74.083%,-1.72千萬,-65.387%,-0.016,N/A,2024/06,1831.HK,252000000.0
01849.HK,秀商時代控股,100201,0.050,0.000,0.000%,0.00,0.00,無盈利,0.21,0.00%,4.00千萬,01849.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01849.HK,2.79億,2.000%,1.35百萬,0.483%,-9.44百萬,-3.390%,-0.012,N/A,2023/06,1849.HK,40000000.0
01860.HK,匯量科技,100201,18.700,-0.160,-0.848%,1.03千萬,1.92億,231.15,17.62,0.00%,294.37億,01860.HK,1.12,1.12,3.15%,8.72%,20.61%,2.07%,N/A,51.05%,2023/12,01860.HK,82.34億,17.000%,2.31億,2.806%,1.70億,2.069%,0.111,46.448%,2023/12,1860.HK,29437000000.0
01917.HK,豆盟科技,100201,0.074,+0.002,+2.778%,17.00萬,1.23萬,無盈利,3.16,0.00%,1.70億,01917.HK,5.40,5.40,-10.98%,-13.07%,28.34%,-9.99%,N/A,N/A,2023/12,01917.HK,8.26千萬,42.000%,-8.25百萬,-9.986%,-8.25百萬,-9.986%,-0.003,87.853%,2023/12,1917.HK,170000000.0
01948.HK,優矩控股,100201,4.970,-0.030,-0.600%,7.50萬,37.54萬,29.43,1.93,0.81%,29.82億,01948.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01948.HK,77.57億,-17.000%,1.38億,1.773%,9.93千萬,1.280%,0.164,-23.285%,2023/12,1948.HK,2982000000.0
01993.HK,雅仕維,100201,0.680,0.000,0.000%,0.00,0.00,無盈利,N/A,0.00%,3.30億,01993.HK,0.83,0.80,-1.08%,-24.49%,21.87%,-1.93%,N/A,"1,811.25%",2023/12,01993.HK,17.64億,-5.000%,1.40億,7.967%,-3.40千萬,-1.928%,-0.071,75.984%,2023/12,1993.HK,330000000.0
02131.HK,云想科技,100201,0.455,0.000,0.000%,0.00,0.00,36.40,0.24,0.00%,3.62億,02131.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02131.HK,32.99億,-11.000%,1.03千萬,0.312%,9.64百萬,0.292%,0.012,N/A,2023/12,2131.HK,362000000.0
02250.HK,小黃鴨德盈,100201,1.010,-0.020,-1.942%,1.40萬,1.45萬,無盈利,5.17,0.00%,9.91億,02250.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02250.HK,1.45億,-49.000%,-4.37千萬,-33.706%,-4.62千萬,-35.669%,-0.048,N/A,2023/12,2250.HK,991000000.0
02383.HK,ＴＯＭ集團,100201,0.430,0.000,0.000%,0.00,0.00,無盈利,N/A,0.00%,17.02億,02383.HK,1.62,1.44,-7.36%,13.88%,41.28%,-28.23%,N/A,-234.39%,2023/12,02383.HK,7.84億,-5.000%,-1.71億,-21.823%,-2.21億,-28.227%,-0.056,N/A,2023/12,2383.HK,1702000000.0
02390.HK,知乎－Ｗ,100201,10.720,-0.090,-0.833%,2.36萬,25.15萬,無盈利,0.64,0.00%,28.93億,02390.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02390.HK,46.03億,13.000%,-11.75億,-25.536%,-9.25億,-20.092%,-3.091,47.201%,2023/12,2390.HK,2893000000.0
02405.HK,力盟科技,100201,1.080,-0.060,-5.263%,33.60萬,35.85萬,203.77,3.70,0.00%,8.64億,02405.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02405.HK,1.68億,N/A,9.79千萬,58.287%,5.61千萬,33.412%,0.075,N/A,2023/12,2405.HK,864000000.0
02422.HK,潤歌互動,100201,0.680,+0.040,+6.250%,6.26百萬,4.15百萬,無盈利,2.67,0.00%,10.20億,02422.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02422.HK,2.09億,-27.000%,1.63千萬,7.798%,1.38千萬,6.573%,0.011,-86.118%,2023/12,2422.HK,1019999999.9999999
00073.HK,亞洲果業,020702,1.960,0.000,0.000%,5.00,10.00,無盈利,0.24,0.00%,2.92千萬,00073.HK,5.05,4.58,-16.00%,-18.69%,100.00%,-15.19%,N/A,12.38%,2024/06,00073.HK,1.86億,50.000%,-2.72千萬,-15.090%,-2.74千萬,-15.185%,-1.988,63.146%,2024/06,0073.HK,29200000.0
00149.HK,中國農產品交易,020702,0.076,-0.001,-1.299%,1.36千萬,1.06百萬,95.00,0.46,0.00%,7.56億,00149.HK,1.60,0.45,0.16%,0.44%,59.28%,1.27%,N/A,80.42%,2024/03,00149.HK,5.79億,-2.000%,1.95億,33.618%,7.35百萬,1.270%,0.001,N/A,2024/03,0149.HK,756000000.0
00202.HK,潤中國際控股,020702,0.140,0.000,0.000%,56.50萬,8.06萬,無盈利,0.96,0.00%,10.21億,00202.HK,1.42,1.39,-20.44%,-28.06%,44.37%,-312.09%,N/A,21.77%,2024/03,00202.HK,1.02億,-12.000%,-2.46億,-239.671%,-3.20億,-312.094%,-0.044,-62.769%,2024/03,0202.HK,1021000000.0000001
00411.HK,南順（香港）,020702,11.410,-0.020,-0.175%,6.90萬,79.53萬,8.84,0.88,4.21%,27.77億,00411.HK,4.42,3.39,5.66%,6.91%,20.94%,4.15%,47.06%,0.14%,2024/06,00411.HK,48.38億,-5.000%,2.45億,5.061%,2.01億,4.147%,0.850,136.111%,2024/06,0411.HK,2777000000.0
00682.HK,超大現代,020702,0.310,+0.005,+1.639%,6.41萬,1.99萬,無盈利,0.26,0.00%,5.11千萬,00682.HK,3.89,3.89,-7.16%,-8.71%,32.26%,-22.54%,N/A,2.41%,2024/06,00682.HK,7.97千萬,-15.000%,-1.43千萬,-17.903%,-1.80千萬,-22.540%,-0.005,-148.041%,2024/06,0682.HK,51100000.0
00875.HK,從玉智農,020702,1.860,-0.070,-3.627%,1.34百萬,2.50百萬,無盈利,2.00,0.00%,10.16億,00875.HK,1.62,1.45,3.57%,9.46%,3.17%,3.29%,N/A,77.32%,2023/12,00875.HK,14.39億,44.000%,-1.41千萬,-0.979%,4.73千萬,3.286%,0.125,15.250%,2023/12,0875.HK,1016000000.0
00969.HK,華聯國際,020702,0.133,+0.010,+8.130%,5.84百萬,75.70萬,無盈利,N/A,0.00%,2.91億,00969.HK,0.07,0.03,-47.88%,4.63%,15.18%,-28.96%,N/A,-70.79%,2023/12,00969.HK,1.42億,N/A,-5.83千萬,-40.947%,-4.12千萬,-28.962%,-0.019,-24.503%,2023/12,0969.HK,291000000.0
02411.HK,百果園集團,020702,2.010,-0.020,-0.985%,2.75百萬,5.56百萬,無盈利,1.11,0.35%,36.56億,02411.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02411.HK,124.86億,-2.000%,4.57億,3.658%,3.97億,3.176%,0.252,3.575%,2023/12,2411.HK,3656000000.0
02497.HK,富景中國控股,020702,0.540,-0.040,-6.897%,15.40萬,8.48萬,4.67,0.53,0.00%,2.70億,02497.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02497.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2497.HK,270000000.0
03838.HK,中國澱粉,020702,0.187,-0.002,-1.058%,66.00萬,12.40萬,2.17,0.26,5.24%,11.15億,03838.HK,2.26,1.65,2.02%,2.95%,4.72%,0.92%,34.97%,15.28%,2023/12,03838.HK,129.32億,-4.000%,1.73億,1.335%,1.18億,0.915%,0.020,-70.203%,2023/12,3838.HK,1115000000.0
03889.HK,大成玉米集團,020702,0.096,+0.003,+3.226%,2.40萬,2.30千,2.52,N/A,0.00%,1.85億,03889.HK,0.23,0.20,50.32%,-77.01%,8.31%,65.68%,N/A,-127.53%,2023/12,03889.HK,4.41億,22.000%,-1.44億,-32.709%,2.90億,65.678%,0.189,N/A,2023/12,3889.HK,185000000.0
06689.HK,洪九果品,020702,1.740,0.000,0.000%,0.00,0.00,1.47,0.34,0.00%,19.77億,06689.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,06689.HK,170.12億,N/A,20.17億,11.854%,16.38億,9.630%,1.192,N/A,2022/12,6689.HK,1977000000.0
08250.HK,都都控股,020702,0.146,-0.010,-6.410%,3.00萬,4.49千,無盈利,0.16,0.00%,5.03千萬,08250.HK,13.40,12.94,-5.09%,-5.59%,0.56%,-0.32%,N/A,0.52%,2024/06,08250.HK,58.48億,16.000%,-1.91千萬,-0.326%,-1.85千萬,-0.316%,-0.050,N/A,2024/06,8250.HK,50300000.0
09676.HK,十月稻田,020702,7.960,-0.050,-0.624%,33.54萬,2.66百萬,39.12,2.25,2.26%,85.02億,09676.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,09676.HK,53.35億,N/A,1.58億,2.961%,-7.38千萬,-1.383%,-0.088,N/A,2023/12,9676.HK,8502000000.0
00544.HK,大同集團,100508,2.050,+0.010,+0.490%,23.14萬,47.62萬,無盈利,N/A,0.00%,7.14千萬,00544.HK,0.87,0.87,2.25%,27.21%,17.39%,1.90%,N/A,"1,006.63%",2023/12,00544.HK,2.98億,9.000%,2.50百萬,0.839%,5.67百萬,1.901%,0.020,19.512%,2023/12,0544.HK,71400000.0
00598.HK,中國外運,100508,5.250,-0.090,-1.685%,4.45百萬,2.33千萬,9.13,0.91,5.96%,105.85億,00598.HK,1.23,1.23,5.56%,11.17%,5.72%,4.15%,49.77%,33.53%,2023/12,00598.HK,"1,114.89億",-9.000%,60.00億,5.382%,46.28億,4.151%,0.639,2.040%,2023/12,0598.HK,10585000000.0
00636.HK,KLN,100508,7.210,-0.070,-0.962%,83.40萬,6.05百萬,8.44,0.82,3.47%,130.32億,00636.HK,1.46,1.43,1.88%,4.71%,10.34%,1.67%,50.00%,62.98%,2023/12,00636.HK,474.08億,-42.000%,22.88億,4.826%,7.91億,1.669%,0.440,-77.778%,2023/12,0636.HK,13032000000.0
00862.HK,遠見控股,100508,0.039,0.000,0.000%,51.50萬,1.95萬,無盈利,1.08,0.00%,1.53億,00862.HK,1.26,1.26,-8.05%,-28.96%,100.00%,-10.76%,N/A,167.98%,2024/06,00862.HK,5.25億,30.000%,-2.76千萬,-5.261%,-5.65千萬,-10.759%,-0.014,-453.846%,2024/06,0862.HK,153000000.0
01292.HK,長安民生物流,100508,4.380,-0.020,-0.455%,3.10萬,13.55萬,11.13,0.33,5.00%,5.69億,01292.HK,1.34,1.33,1.09%,2.80%,4.66%,0.71%,57.14%,18.83%,2023/12,01292.HK,87.36億,N/A,8.24千萬,0.943%,6.19千萬,0.708%,0.384,41.710%,2023/12,1292.HK,569000000.0
01442.HK,鷹輝物流,100508,0.340,+0.005,+1.493%,1.00萬,3.40千,13.66,1.14,0.00%,7.02億,01442.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01442.HK,6.31億,N/A,4.16千萬,6.602%,3.13千萬,4.956%,0.015,-51.173%,2023/12,1442.HK,702000000.0
01519.HK,極兔速遞－Ｗ,100508,9.900,-0.100,-1.000%,1.20千萬,1.20億,110.49,4.00,0.00%,881.35億,01519.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01519.HK,691.21億,N/A,-137.99億,-19.963%,-86.00億,-12.442%,-2.054,N/A,2023/12,1519.HK,88135000000.0
01529.HK,樂氏國際控股,100508,0.480,+0.025,+5.495%,46.60萬,22.37萬,無盈利,0.55,0.00%,3.20億,01529.HK,1.97,1.97,-12.17%,-24.87%,100.00%,-25.72%,N/A,56.40%,2023/12,01529.HK,1.57億,-25.000%,-3.55千萬,-24.163%,-3.77千萬,-25.718%,-0.360,"-15,836.247%",2023/12,1529.HK,320000000.0
01737.HK,亞洲實業集團,100508,0.091,0.000,0.000%,0.00,0.00,無盈利,0.49,0.00%,9.10千萬,01737.HK,3.44,3.44,5.68%,7.87%,11.41%,2.71%,113.64%,4.92%,2024/03,01737.HK,6.50億,27.000%,2.25千萬,3.468%,1.76千萬,2.714%,0.018,104.651%,2024/03,1737.HK,91000000.0
02057.HK,中通快遞－Ｗ,100508,145.600,-4.700,-3.127%,69.00萬,1.01億,12.50,1.79,3.73%,"1,171.31億",02057.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02057.HK,421.15億,5.000%,109.71億,26.049%,95.91億,22.773%,11.872,25.134%,2023/12,2057.HK,117131000000.0
02129.HK,LEGION,100508,0.125,0.000,0.000%,3.50萬,4.35千,5.44,0.51,0.00%,1.56億,02129.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02129.HK,3.58億,7.000%,2.66千萬,7.425%,2.03千萬,5.666%,0.016,-23.724%,2023/12,2129.HK,156000000.0
02130.HK,嘉泓物流,100508,3.360,+0.020,+0.599%,1.20萬,4.00萬,30.71,1.97,0.89%,10.10億,02130.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02130.HK,21.04億,-24.000%,9.18千萬,4.362%,4.83千萬,2.295%,0.165,-48.758%,2023/12,2130.HK,1010000000.0
02246.HK,快狗打車,100508,2.590,-0.030,-1.145%,30.04萬,76.53萬,無盈利,0.51,0.00%,1.71億,02246.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02246.HK,8.25億,-5.000%,-12.08億,-146.440%,-12.05億,-146.067%,-1.929,28.740%,2023/12,2246.HK,171000000.0
02482.HK,維天運通,100508,0.740,+0.050,+7.246%,1.60萬,1.17萬,19.37,1.36,0.00%,3.90億,02482.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02482.HK,61.56億,-12.000%,-3.39千萬,-0.551%,-3.24千萬,-0.526%,-0.022,N/A,2023/12,2482.HK,390000000.0
02505.HK,ＥＤＡ集團控股,100508,1.800,0.000,0.000%,1.70萬,3.06萬,14.41,1.26,3.89%,7.97億,02505.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02505.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2505.HK,797000000.0
02516.HK,泛遠國際,100508,0.580,-0.080,-12.121%,2.16百萬,1.31百萬,6.14,0.59,0.00%,4.52億,02516.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02516.HK,22.43億,N/A,4.14千萬,1.847%,3.00千萬,1.337%,0.047,N/A,2023/12,2516.HK,451999999.99999994
02618.HK,京東物流,100508,12.400,-0.500,-3.876%,2.21千萬,2.75億,11.70,1.40,0.00%,825.22億,02618.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,02618.HK,"1,826.54億",17.000%,17.57億,0.962%,6.75億,0.370%,0.110,N/A,2023/12,2618.HK,82522000000.0
03399.HK,粵運交通,100508,1.790,-0.010,-0.556%,25.05萬,44.88萬,5.69,0.65,5.53%,3.71億,03399.HK,0.96,0.91,2.35%,10.55%,8.95%,2.79%,N/A,178.89%,2023/12,03399.HK,79.22億,20.000%,3.24億,4.093%,2.21億,2.793%,0.274,N/A,2023/12,3399.HK,371000000.0
06083.HK,環宇物流（亞洲）,100508,0.580,0.000,0.000%,1.20萬,7.04千,15.34,2.75,8.62%,2.91億,06083.HK,1.46,0.84,6.75%,17.88%,100.00%,6.05%,100.25%,24.35%,2023/12,06083.HK,3.33億,N/A,2.51千萬,7.593%,2.00千萬,6.046%,0.040,-2.206%,2023/12,6083.HK,291000000.0
06123.HK,圓通國際快遞,100508,1.100,+0.010,+0.917%,7.00萬,7.69萬,無盈利,0.38,0.00%,4.62億,06123.HK,2.35,2.35,4.43%,7.55%,9.10%,1.83%,9.94%,3.18%,2023/12,06123.HK,52.92億,-21.000%,1.22億,2.297%,9.68千萬,1.829%,0.232,-29.227%,2023/12,6123.HK,462000000.0
06936.HK,順豐控股,100508,35.800,-0.180,-0.500%,2.82百萬,1.01億,15.98,1.83,1.34%,85.92億,06936.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,06936.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,6936.HK,8592000000.0
08035.HK,駿高控股,100508,0.064,0.000,0.000%,0.00,0.00,無盈利,0.90,0.00%,3.84千萬,08035.HK,1.53,1.52,-13.99%,-29.85%,10.21%,-6.84%,N/A,40.16%,2023/12,08035.HK,2.66億,-48.000%,-1.33千萬,-4.988%,-1.82千萬,-6.841%,-0.030,N/A,2023/12,8035.HK,38400000.0
08292.HK,VSING,100508,0.485,-0.015,-3.000%,1.65百萬,80.05萬,無盈利,7.05,0.00%,5.23億,08292.HK,2.35,2.10,-34.89%,-56.27%,6.54%,-17.53%,N/A,19.87%,2023/12,08292.HK,1.98億,-17.000%,-3.56千萬,-17.980%,-3.47千萬,-17.535%,-0.055,-56.135%,2023/12,8292.HK,523000000.00000006
08348.HK,濱海泰達物流,100508,0.420,0.000,0.000%,0.00,0.00,23.73,0.16,7.60%,1.49億,08348.HK,1.15,1.10,1.64%,3.36%,1.67%,0.82%,25.00%,43.64%,2023/12,08348.HK,40.01億,7.000%,3.92千萬,0.979%,3.26千萬,0.816%,0.088,-2.828%,2023/12,8348.HK,149000000.0
08482.HK,萬勵達,100508,0.166,0.000,0.000%,0.00,0.00,無盈利,0.68,0.00%,2.98千萬,08482.HK,2.70,2.68,-26.84%,-42.04%,2.48%,-13.18%,N/A,2.72%,2024/03,08482.HK,1.87億,-9.000%,-2.48千萬,-13.222%,-2.47千萬,-13.179%,-0.022,24.211%,2024/03,8482.HK,29800000.0
08489.HK,裕程物流,100508,0.136,-0.013,-8.725%,3.50萬,4.76千,無盈利,0.32,0.00%,4.08千萬,08489.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,08489.HK,8.26億,22.000%,-1.85百萬,-0.224%,-1.51百萬,-0.182%,-0.005,94.565%,2023/12,8489.HK,40800000.0
08620.HK,亞洲速運,100508,0.092,0.000,0.000%,0.00,0.00,無盈利,1.47,0.00%,4.86千萬,08620.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,08620.HK,3.57億,7.000%,-4.77百萬,-1.339%,-4.46百萬,-1.251%,-0.009,79.762%,2024/03,8620.HK,48600000.0
09699.HK,順豐同城,100508,11.880,-0.280,-2.303%,1.38百萬,1.64千萬,76.89,3.45,0.00%,88.21億,09699.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,09699.HK,135.79億,17.000%,2.10千萬,0.155%,5.55千萬,0.408%,0.055,N/A,2023/12,9699.HK,8821000000.0
09956.HK,安能物流,100508,11.600,-0.020,-0.172%,2.38百萬,2.77千萬,16.85,3.86,0.00%,136.43億,09956.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,09956.HK,108.71億,3.000%,6.79億,6.247%,4.30億,3.957%,0.373,N/A,2023/12,9956.HK,13643000000.0
00293.HK,國泰航空,100501,12.160,-0.130,-1.058%,4.95百萬,6.04千萬,8.15,1.49,5.67%,816.81億,00293.HK,0.50,0.48,5.21%,15.11%,100.00%,9.60%,30.54%,113.77%,2023/12,00293.HK,944.85億,85.000%,151.25億,16.008%,90.67億,9.596%,1.408,N/A,2023/12,0293.HK,81681000000.0
00670.HK,中國東方航空股份,100501,4.610,-0.100,-2.123%,2.04千萬,9.54千萬,無盈利,5.46,0.00%,233.39億,00670.HK,0.24,0.23,-2.87%,-35.83%,100.00%,-7.18%,N/A,856.34%,2023/12,00670.HK,"1,306.34億",131.000%,-21.04億,-1.687%,-89.54億,-7.181%,-0.406,81.842%,2023/12,0670.HK,23339000000.0
00753.HK,中國國航,100501,6.500,-0.140,-2.108%,1.47千萬,9.62千萬,無盈利,2.36,0.00%,322.11億,00753.HK,0.29,0.26,-0.31%,-2.79%,100.00%,-0.74%,N/A,629.63%,2023/12,00753.HK,"1,627.88億",156.000%,31.67億,2.048%,-11.38億,-0.736%,-0.074,97.671%,2023/12,0753.HK,32211000000.0
01055.HK,中國南方航空股份,100501,5.340,-0.160,-2.909%,1.61千萬,8.72千萬,無盈利,2.60,0.00%,247.99億,01055.HK,0.22,0.20,-1.34%,-11.17%,100.00%,-2.73%,N/A,552.21%,2023/12,01055.HK,"1,753.14億",78.000%,60.92億,3.669%,-45.38億,-2.734%,-0.252,88.237%,2023/12,1055.HK,24799000000.0
00357.HK,美蘭空港,100502,10.510,-0.090,-0.849%,99.00萬,1.04千萬,無盈利,1.15,0.00%,23.85億,00357.HK,0.11,0.11,-1.20%,-3.18%,1.84%,-6.52%,N/A,20.25%,2023/12,00357.HK,22.86億,77.000%,-2.27億,-9.920%,-1.49億,-6.521%,-0.318,14.606%,2023/12,0357.HK,2385000000.0
00694.HK,北京首都機場股份,100502,2.980,0.000,0.000%,7.98百萬,2.37千萬,無盈利,0.95,0.00%,56.01億,00694.HK,0.22,0.21,-5.21%,-11.40%,100.00%,-37.22%,N/A,72.76%,2023/12,00694.HK,49.97億,98.000%,-15.48億,-30.988%,-18.60億,-37.222%,-0.406,53.307%,2023/12,0694.HK,5601000000.0
