股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
00317.HK,中船防務,060204,13.990,-0.260,-1.825%,2.55百萬,3.61千萬,49.30,1.04,0.64%,82.83億,00317.HK,1.13,0.92,0.09%,0.29%,6.63%,0.30%,32.35%,32.16%,2023/12,00317.HK,176.99億,22.000%,7.69千萬,0.435%,5.27千萬,0.298%,0.037,-93.217%,2023/12,0317.HK,8283000000.0
00110.HK,中國長遠,070306,0.230,-0.002,-0.862%,0.00,0.00,無盈利,N/A,0.00%,5.83千萬,00110.HK,0.61,0.58,-32.43%,-44.99%,0.46%,-15.47%,N/A,5.70%,2023/12,00110.HK,8.15千萬,1.000%,-1.47千萬,-18.046%,-1.26千萬,-15.472%,-0.064,18.391%,2023/12,0110.HK,58300000.0
00248.HK,香港通訊國際控股,070306,0.040,+0.002,+5.263%,1.10百萬,4.18萬,無盈利,0.23,0.00%,4.98千萬,00248.HK,1.11,1.03,-5.29%,-9.06%,25.74%,-12.46%,N/A,65.81%,2024/03,00248.HK,1.76億,3.000%,-2.20千萬,-12.474%,-2.20千萬,-12.460%,-0.018,-12.102%,2024/03,0248.HK,49800000.00000001
00285.HK,比亞迪電子,070306,34.620,-0.680,-1.926%,1.44千萬,4.98億,17.20,2.26,1.79%,780.06億,00285.HK,1.00,0.66,4.63%,13.78%,8.03%,3.11%,30.06%,56.22%,2023/12,00285.HK,"1,424.59億",17.000%,51.31億,3.602%,44.30億,3.110%,1.962,112.120%,2023/12,0285.HK,78006000000.0
01362.HK,新龍移動,070306,0.490,0.000,0.000%,0.00,0.00,13.96,0.80,3.06%,1.37億,01362.HK,3.29,2.62,3.88%,5.52%,2.47%,0.47%,46.58%,3.90%,2023/12,01362.HK,19.36億,5.000%,1.10千萬,0.569%,9.01百萬,0.465%,0.032,-57.963%,2023/12,1362.HK,137000000.0
01401.HK,未來機器有限公司,070306,0.610,+0.090,+17.308%,2.94千萬,1.85千萬,46.21,2.06,0.00%,9.15億,01401.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01401.HK,30.94億,89.000%,4.38千萬,1.415%,3.55千萬,1.147%,0.036,384.366%,2023/12,1401.HK,915000000.0
01478.HK,丘鈦科技,070306,11.010,-0.350,-3.081%,6.09百萬,6.73千萬,43.94,2.41,0.91%,130.97億,01478.HK,1.15,0.97,0.55%,1.70%,4.06%,0.65%,N/A,90.79%,2023/12,01478.HK,137.36億,-11.000%,3.17億,2.307%,8.98千萬,0.654%,0.076,-53.759%,2023/12,1478.HK,13097000000.0
01810.HK,小米集團－Ｗ,070306,42.360,-1.140,-2.621%,1.39億,59.30億,41.80,5.30,0.00%,"11,031.46億",01810.HK,1.72,1.34,5.39%,10.66%,21.21%,6.45%,N/A,16.99%,2023/12,01810.HK,"2,970.37億",-5.000%,219.34億,7.384%,191.56億,6.449%,0.767,580.206%,2023/12,1810.HK,1103146000000.0
02038.HK,富智康集團,070306,18.630,-0.630,-3.271%,42.77萬,8.08百萬,無盈利,1.30,0.00%,145.92億,02038.HK,1.26,1.05,-2.79%,-7.74%,1.70%,-1.87%,N/A,45.41%,2023/12,02038.HK,503.48億,-31.000%,-7.78億,-1.545%,-9.43億,-1.872%,-0.119,-67.097%,2023/12,2038.HK,14591999999.999998
02369.HK,酷派集團,070306,0.970,0.000,0.000%,13.11萬,12.62萬,無盈利,0.22,0.00%,3.72億,02369.HK,0.27,0.24,-14.64%,-27.97%,-69.52%,-301.23%,N/A,8.66%,2022/12,02369.HK,2.08億,-68.000%,-6.22億,-299.669%,-6.25億,-301.229%,-0.046,25.770%,2022/12,2369.HK,372000000.0
