Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,SNO
2025-11-17,0002.HK,68.9000015258789,69.0999984741211,68.75,69.0,69.0,4152546,0.0,0.0,68.12761715334537,67.29218083439213,66.55196169187182,66.20830323899445,65.77123636275218,True,True,HH,HHHLHL,68.30000305175781,2025-11-19,68.75,2025-11-26,68.5,65.75,65.6500015258789,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-18,0002.HK,69.0,69.05000305175781,68.44999694824219,68.75,68.75,3370797,0.0,0.0,68.24077767091893,67.41894771835803,66.63815927258274,66.25863386792525,65.79497153117647,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-19,0002.HK,69.0,69.0,68.30000305175781,68.69999694824219,68.69999694824219,3693136,0.0,0.0,68.32427208497771,67.53034330356535,66.71901565202037,66.30697769129786,65.81811914406146,True,True,HL,HLHLHL,68.5,2025-11-26,68.75,2025-11-27,68.5,66.55000305175781,65.75,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-20,0002.HK,69.0,69.0,68.5,68.75,68.75,1528149,0.0,0.0,68.4016771604363,67.63640040760315,66.7986620970392,66.3553543706781,65.84148074450718,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-17,0006.HK,51.45000076293945,51.79999923706055,51.29999923706055,51.59999847412109,51.59999847412109,2529964,0.0,0.0,51.16789783967653,50.71859437155266,50.55592648004302,50.61614384051843,50.22071501517762,False,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-18,0006.HK,51.54999923706055,51.650001525878906,51.25,51.34999847412109,51.34999847412109,2038160,0.0,0.0,51.20100704593917,50.77349907612384,50.58706655824216,50.63067561544126,50.22971328975088,False,True,HL,HLLHLH,51.70000076293945,2025-11-25,51.5,2025-11-26,51.70000076293945,49.220001220703125,49.09999847412109,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-19,0006.HK,51.34999847412109,51.54999923706055,51.29999923706055,51.400001525878906,51.400001525878906,1529335,0.0,0.0,51.23718786047367,50.82797755001558,50.61894636089458,50.64590979188557,50.23903829561643,False,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-20,0006.HK,51.400001525878906,51.70000076293945,51.400001525878906,51.5,51.5,891219,0.0,0.0,51.28497188584208,50.88641428479684,50.65349748399676,50.662822469273976,50.249085799237015,False,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-17,0941.HK,87.3499984741211,87.5,86.55000305175781,86.75,86.75,15518851,0.0,0.0,87.28209576683778,86.68415135632728,86.34791038617362,85.96247462529472,82.75664097247525,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-18,0941.HK,86.5,86.80000305175781,86.0999984741211,86.80000305175781,86.80000305175781,13656501,0.0,0.0,87.19444254591414,86.6942254167995,86.36563951031418,85.97905934661081,82.78885899701136,True,True,HL,HLHLHL,86.44999694824219,2025-11-26,86.5,2025-11-27,86.44999694824219,85.75,84.75,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-19,0941.HK,87.0,87.1500015258789,86.3499984741211,86.3499984741211,86.3499984741211,14578374,0.0,0.0,87.04090726013358,86.6642926391753,86.36502613634582,85.98640467586844,82.81723461037478,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-20,0941.HK,86.5,86.8499984741211,86.44999694824219,86.5,86.5,5986168,0.0,0.0,86.94256048556385,86.65000632272528,86.37031922903815,85.99657488030668,82.84657935451523,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
