index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,SNO
2025-12-17,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2725124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.7000000897575828,1.4000001795151655,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-18,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.7000000897575828,1.4000001795151655,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-19,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6852942074046415,1.370588414809283,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-20,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6676469690659467,1.3352939381318931,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-21,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6676469690659467,1.3352939381318931,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-22,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6617647058823529,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-23,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6676469690659467,1.3352939381318931,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-24,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6833330790201823,1.3666661580403645,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-25,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6694441901312934,1.3388883802625868,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-26,0002.HK,68.69999694824219,69.0999984741211,68.5999984741211,69.0,69.0,3563469,0.0,0.0,68.31744879699578,68.09497004688035,67.53613241164568,66.93857959647193,66.2331460260345,True,True,True,True,0.5,0.6555553012424045,1.311110602484809,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
