Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_10,Capital Gains
2025-10-07,XOMAO,25.21999931335449,25.280000686645508,25.11000061035156,25.25,7900,0.0,0.0,25.18743600887403,25.112712074039337,24.987421189838464,24.761689681343448,24.0815146125928,True,True,True,True,
2025-10-07,VCIC,10.850000381469728,10.949999809265137,10.800000190734863,10.949999809265137,523300,0.0,0.0,10.784197724696178,10.690072674726895,10.5648454150595,10.42865259812181,10.235359731489584,True,True,True,True,
2025-10-07,VACH,10.460000038146973,10.460000038146973,10.460000038146973,10.460000038146973,3000,0.0,0.0,10.461772270062935,10.451891041627889,10.428530983446787,10.37652826733644,10.245957687917098,True,True,True,True,
2025-10-07,TPGXL,26.049999237060547,26.100000381469727,25.84000015258789,25.959999084472656,6400,0.0,0.0,25.924133508812144,25.85352938785277,25.60797113091978,25.21587480686095,24.64070647175014,True,True,True,True,
2025-10-07,TBMC,12.0,12.0,11.68000030517578,12.0,3900,0.0,0.0,11.760651275056173,11.710076561855466,11.671220385201948,11.605691203477985,11.32436614859385,True,True,True,True,
2025-10-07,TBCH,15.550000190734863,15.600000381469728,14.880000114440918,15.210000038146973,152800,0.0,0.0,15.430413191224558,15.393417476933683,15.097082030350316,14.662916487132533,14.466755871187436,True,True,True,True,
2025-10-07,SWKHL,25.415000915527344,25.424999237060547,25.415000915527344,25.424999237060547,500,0.0,0.0,25.4055920658637,25.36510559598402,25.229171605246076,24.940894817921865,24.14549175109846,True,True,True,True,
2025-10-07,SSSSL,24.93000030517578,24.950000762939453,24.832000732421875,24.940000534057617,6800,0.0,0.0,24.908626449174275,24.815147590816228,24.621013869109355,24.302970123215555,23.45125976876344,True,True,True,True,
2025-10-07,SLVO,92.9499969482422,92.9499969482422,92.4800033569336,92.6500015258789,13100,0.0,0.0,91.8675964147334,90.03486067526605,86.58491807660218,82.3372595219093,74.88754343888198,True,True,True,True,0.0
2025-10-07,SIMA,10.5600004196167,10.5600004196167,10.510000228881836,10.510000228881836,2800,0.0,0.0,10.48765584611599,10.46651498857474,10.42968549128974,10.356785895291752,10.211466818893028,True,True,True,True,
2025-10-07,RYTM,97.93000030517578,99.83000183105467,96.3000030517578,99.83000183105467,434900,0.0,0.0,98.94556364072776,98.68120174337754,95.09791629224144,86.67943000327013,71.36978516682629,True,True,True,True,
2025-10-07,RILYN,21.14999961853028,21.26499938964844,21.14900016784668,21.14900016784668,4500,0.0,0.0,21.062797708036648,20.90477240100927,19.854666076906703,17.760780943840007,15.241836931927075,True,True,True,True,
2025-10-07,RILYK,24.0,24.155000686645508,23.950000762939453,24.155000686645508,18200,0.0,0.0,23.961367615821786,23.89199182673485,23.3059018456612,22.11065421063483,20.347827806726933,True,True,True,True,
2025-10-07,RFAI,10.68000030517578,10.800000190734863,10.68000030517578,10.699999809265137,6000,0.0,0.0,10.68133238380279,10.647951447802592,10.589597880283137,10.504115875811582,10.343550888345082,True,True,True,True,
2025-10-07,POLEU,10.489999771118164,10.489999771118164,10.489999771118164,10.489999771118164,182,0.0,0.0,10.418829013676064,10.336734093173604,10.235661243745968,10.1517100801884,10.063876329013237,True,True,True,True,
2025-10-07,POLE,10.5,10.5,10.5,10.5,3400,0.0,0.0,10.497650065755272,10.470520861485555,10.41957639611074,10.33476753484877,10.184355276569557,True,True,True,True,
2025-10-07,PLMK,10.31999969482422,10.31999969482422,10.31999969482422,10.31999969482422,500,0.0,0.0,10.314283355717071,10.304039331458076,10.275015641010294,10.213958275986066,10.111343507140182,True,True,True,True,
2025-10-07,PFXNZ,23.700000762939453,23.89999961853028,23.700000762939453,23.739999771118164,4900,0.0,0.0,23.7898843465617,23.72484647842,23.50472698818136,23.164571215494917,22.312579687922465,True,True,True,True,
2025-10-07,OACC,10.5,10.529999732971191,10.5,10.529999732971191,161800,0.0,0.0,10.523391293810295,10.502231675516692,10.470972291288836,10.409193170443087,10.261668931049757,True,True,True,True,
2025-10-07,NHPBP,18.5,18.5,17.0,17.729999542236328,4800,0.0,0.0,17.814893897008176,17.671017129585262,17.042922703630545,15.98181893175724,14.586843710065782,True,True,True,True,
2025-10-07,NEWTZ,25.13999938964844,25.145000457763672,25.11000061035156,25.1200008392334,2400,0.0,0.0,25.094044309642403,25.042167212078382,24.928034906953005,24.72228036584532,24.12909614878833,True,True,True,True,
2025-10-07,NEWTI,25.049999237060547,25.049999237060547,24.979999542236328,24.979999542236328,900,0.0,0.0,25.02213977112602,24.98576234167832,24.873552532680744,24.657825701806694,24.06060054941547,True,True,True,True,
2025-10-07,NEWTG,25.07200050354004,25.09000015258789,25.01000022888184,25.040000915527344,16400,0.0,0.0,25.04830676468259,24.95504319219558,24.781352387655275,24.52889218149357,24.00165631801518,True,True,True,True,
2025-10-07,MGYR,17.25,17.260000228881836,17.25,17.260000228881836,1100,0.0,0.0,17.232259012042828,17.229399379414613,17.061984571018503,16.518317851343333,15.057355459312497,True,True,True,True,
2025-10-07,LSBK,13.06999969482422,13.06999969482422,12.979999542236328,12.989999771118164,25300,0.0,0.0,13.018546959161828,13.015340084263784,12.792274848985189,12.320648056684574,11.219209896804337,True,True,True,True,
2025-10-07,LPBB,10.449999809265137,10.449999809265137,10.43000030517578,10.43000030517578,80000,0.0,0.0,10.438898981492038,10.433536450457463,10.41858267740417,10.36053630113928,10.212036711022623,True,True,True,True,
