sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,TU2,BY1,TOTAL,WR
0007.HK,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,6.0,50.0
0009.HK,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,75.0
0018.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0021.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0
0022.HK,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,50.0
0030.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,25.0
0031.HK,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,50.0
0033.HK,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,20.0
0036.HK,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,60.0
0037.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
0039.HK,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,7.0,28.57
0040.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,20.0
0042.HK,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,7.0,42.86
0046.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0048.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.33
0050.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0052.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0055.HK,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,75.0
0057.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
0058.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0
0059.HK,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,50.0
0060.HK,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,7.0,28.57
0061.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,40.0
0063.HK,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.33
0064.HK,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,20.0
0065.HK,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,50.0
0070.HK,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,60.0
0072.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0073.HK,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,60.0
0075.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
0076.HK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,50.0
0078.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,33.33
0079.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,50.0
0080.HK,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,75.0
0082.HK,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,75.0
0084.HK,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,5.0,40.0
0090.HK,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.33
0092.HK,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,8.0,75.0
0093.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0094.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0095.HK,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,60.0
0096.HK,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,75.0
0097.HK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,50.0
0099.HK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0103.HK,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,71.43
0104.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0105.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
0106.HK,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,66.67
0110.HK,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,87.5
0111.HK,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,33.33
0115.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0117.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0118.HK,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,8.0,37.5
