Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_10,Adj Close,Capital Gains
2025-10-06,ZK,30.09000015258789,29.93149948120117,29.6200008392334,29.86000061035156,109890,0.0,0.0,29.76539754483911,29.611701049123266,29.20897074563501,28.31638336880008,26.75145597660374,True,True,True,True,,
2025-10-06,ZION,57.33000183105469,58.52999877929688,56.61000061035156,57.36000061035156,772978,0.0,0.0,57.03494343184549,56.95093411662593,55.83797127924635,54.02171045834325,51.090902184693626,True,True,True,True,,
2025-10-06,ZIMV,18.959999084472656,18.959999084472656,18.93000030517578,18.934999465942383,99207,0.0,0.0,18.92207678418429,18.84322506429745,17.83114334928084,15.961119939110462,14.478749202497244,True,True,True,True,,
2025-10-06,XOMAO,25.36000061035156,25.36000061035156,25.25,25.25,1903,0.0,0.0,25.17353289973546,25.09963703461329,24.976703711646195,24.751824875924303,24.07212920877249,True,True,True,True,,
2025-10-06,WTBA,20.280000686645508,20.5,20.165000915527344,20.270000457763672,23930,0.0,0.0,20.341328126904344,20.268266998354648,19.924075301972305,19.710988209534428,19.482961765458164,True,True,True,True,,
2025-10-06,WNS,76.27999877929688,76.3499984741211,76.2699966430664,76.30500030517578,132148,0.0,0.0,76.1965195276203,75.95433571724699,74.50816995240517,70.96473556618272,64.77609367313468,True,True,True,True,,
2025-10-06,WMG,33.86000061035156,34.290000915527344,33.75,33.75,626409,0.0,0.0,33.7848450369188,33.52074549342847,32.58907665245244,31.486396652356817,30.763226171147192,True,True,True,True,,
2025-10-06,WES,38.7599983215332,38.7599983215332,38.10499954223633,38.1150016784668,1195342,0.0,0.0,38.726586364484334,38.67146516022856,38.57293662773989,38.31916972011809,37.0078229782501,True,True,True,True,,
2025-10-06,WELL,174.0399932861328,175.0800018310547,173.15159606933594,174.80999755859375,738140,0.0,0.0,174.35086815297817,171.79942603365646,167.62052124402308,161.6274494512871,146.68934884402643,True,True,True,True,,
2025-10-06,WEC,113.94000244140624,114.43920135498048,113.41000366210938,114.25,530178,0.0,0.0,112.71466361086314,111.33693111833904,109.5437458481597,107.55674068189153,101.8852881134706,True,True,True,True,,
2025-10-06,WCC,217.5800018310547,221.2899932861328,215.8999938964844,220.56500244140625,155838,0.0,0.0,214.33513463290436,213.8348844086863,210.3342983713618,201.2931396922268,187.23722782275905,True,True,True,True,,
2025-10-06,WCBR,32.189998626708984,32.2400016784668,31.940000534057617,32.2400016784668,12301,0.0,0.0,31.71665029641187,31.435348340087835,31.05419451672153,30.6030524274099,29.21677337624752,True,True,True,True,,0.0
2025-10-06,VTR,69.47000122070312,69.69999694824219,68.7699966430664,69.38999938964844,800552,0.0,0.0,69.09910337908588,68.52362885394541,67.61592683787822,66.41688101353,62.95525953144023,True,True,True,True,,
2025-10-06,VRNS,59.84999847412109,60.18000030517578,59.38999938964844,60.08990097045898,310641,0.0,0.0,58.85827042722381,58.216959806290696,56.671900340718096,53.95709137368664,50.22496432215209,True,True,True,True,,
2025-10-06,VRNA,106.8499984741211,106.91999816894533,106.80999755859376,106.875,1035857,0.0,0.0,106.67687538220515,106.4005112568907,104.23559279569528,96.62276562847688,75.32067068766375,True,True,True,True,,
2025-10-06,VMC,304.0899963378906,306.44000244140625,301.2300109863281,306.0400085449219,143217,0.0,0.0,302.06616438840064,298.51138458427465,291.120279766745,281.2928479011636,267.3074486866306,True,True,True,True,,
2025-10-06,VLYPP,25.309999465942383,25.42659950256348,25.309999465942383,25.424999237060547,1469,0.0,0.0,25.431407216877417,25.338642288558034,25.07570842749353,24.692896150957576,23.680878165197395,True,True,True,True,,
2025-10-06,VLYPO,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,552,0.0,0.0,25.10908508620797,25.027524450005888,24.82368941131186,24.527420625832026,23.73728946752853,True,True,True,True,,
2025-10-06,VLYPN,26.059999465942383,26.184999465942383,26.059999465942383,26.07999992370605,2269,0.0,0.0,26.097794202211062,25.99902195515753,25.66055174157932,25.21874482933953,24.5121569077066,True,True,True,True,,
2025-10-06,VKI,8.800000190734863,8.8100004196167,8.699999809265137,8.710000038146973,76211,0.0,0.0,8.756098515791107,8.670971640599731,8.49961027887588,8.365858359834014,8.237117311565573,True,True,True,True,,
2025-10-06,VICI,32.52000045776367,32.529998779296875,32.16999816894531,32.404998779296875,1845209,0.0,0.0,32.48446528065882,32.4646939590015,32.43064784408678,32.096758460229424,31.027199304427523,True,True,True,True,,
2025-10-06,VIASP,25.209999084472656,25.59000015258789,25.209999084472656,25.59000015258789,3197,0.0,0.0,25.296085589629463,25.203466685776142,24.98604405292423,24.41173685375005,22.5552849448013,True,True,True,True,,
2025-10-06,VGM,10.050000190734863,10.100000381469728,10.029999732971191,10.059300422668455,149927,0.0,0.0,10.08958793517118,9.985731151828578,9.790268739924208,9.638463272683545,9.480440753820533,True,True,True,True,,
2025-10-06,VGI,7.980000019073486,8.029899597167969,7.920100212097168,7.920100212097168,15787,0.0,0.0,7.955222266257222,7.9461005622390495,7.870162337113167,7.717640443658928,7.380953731045465,True,True,True,True,,
2025-10-06,VFL,10.18000030517578,10.19499969482422,10.18000030517578,10.18000030517578,6286,0.0,0.0,10.21447924121617,10.119533267625886,9.913988905142295,9.78817551724779,9.749008509770746,True,True,True,True,,
2025-10-06,VCIC,10.829999923706056,10.850000381469728,10.765000343322754,10.774999618530272,148229,0.0,0.0,10.724625544286916,10.654448144315388,10.54422286675659,10.415645083705272,10.228623634607342,True,True,True,True,,
