sno,TP12,TP1,TP2,TP1C,CL1,BY1
0001.HK,2,0,0,1,1,0
0002.HK,0,0,1,0,2,0
0003.HK,0,0,0,1,1,1
0004.HK,4,0,0,0,3,0
0005.HK,0,0,0,0,3,0
0006.HK,0,1,0,1,1,0
0008.HK,0,0,0,0,3,0
0011.HK,2,0,0,2,1,0
0012.HK,2,0,0,0,2,0
0016.HK,0,1,0,0,0,1
0019.HK,1,0,0,0,3,0
0023.HK,1,0,0,0,0,0
0027.HK,3,0,0,1,2,0
0066.HK,0,0,0,1,3,0
0083.HK,1,0,0,0,1,0
0087.HK,1,0,0,1,1,0
0101.HK,0,0,0,0,2,0
0135.HK,0,0,0,0,1,0
0144.HK,2,0,0,0,2,1
0148.HK,2,1,0,0,0,0
0151.HK,0,0,0,0,1,0
0168.HK,2,0,0,0,1,0
0175.HK,0,0,0,0,2,0
0179.HK,0,0,0,0,2,0
0220.HK,1,0,0,1,0,0
0241.HK,1,0,0,1,1,0
0267.HK,1,0,0,1,3,0
0268.HK,0,0,0,0,0,1
0270.HK,1,0,0,1,2,0
0285.HK,1,0,0,0,0,0
0288.HK,1,0,0,0,1,0
0291.HK,0,0,0,0,1,1
0293.HK,1,0,0,1,1,0
0300.HK,1,0,0,0,0,0
0316.HK,0,0,0,0,1,0
0322.HK,0,0,1,1,0,0
0358.HK,2,0,0,0,1,0
0386.HK,3,0,0,0,2,0
0388.HK,0,0,0,0,3,0
0392.HK,3,0,0,0,1,0
0425.HK,0,2,0,0,1,0
0486.HK,1,0,0,1,0,1
0522.HK,1,0,0,0,0,0
0656.HK,2,0,0,1,0,0
0659.HK,0,1,0,0,0,0
0669.HK,1,0,0,0,3,0
0700.HK,1,0,0,0,1,0
0728.HK,0,0,0,0,1,0
0753.HK,1,0,0,0,0,0
0762.HK,0,0,0,0,1,0
0763.HK,0,0,0,1,0,0
0772.HK,1,0,0,0,1,0
0780.HK,1,0,0,0,0,0
0788.HK,0,0,0,1,0,0
0836.HK,2,1,0,0,1,0
0857.HK,1,0,0,0,1,0
0867.HK,0,0,1,0,0,0
0868.HK,0,0,1,0,0,0
0883.HK,1,0,0,0,1,0
0914.HK,1,0,0,0,0,0
0939.HK,1,0,0,0,4,0
0941.HK,2,0,0,0,2,0
0945.HK,2,0,2,0,2,0
0966.HK,1,0,0,0,2,0
0981.HK,1,0,0,0,2,0
1024.HK,1,0,0,0,1,0
1038.HK,3,0,0,0,2,0
1044.HK,0,0,0,1,1,0
1088.HK,1,0,1,0,1,0
1093.HK,0,0,0,0,3,0
1171.HK,1,0,0,0,4,0
1177.HK,0,0,0,0,1,0
1193.HK,0,0,0,0,2,0
1208.HK,0,0,0,1,1,0
1209.HK,1,0,0,0,0,0
1211.HK,1,0,0,0,1,0
1258.HK,0,0,0,0,1,0
1288.HK,1,0,1,0,0,0
1299.HK,0,0,0,0,2,0
1308.HK,0,0,0,1,1,0
1339.HK,1,0,0,0,0,1
1378.HK,1,0,1,0,0,0
1530.HK,0,0,0,0,1,0
1548.HK,0,0,0,0,2,0
1658.HK,0,0,0,0,1,0
1729.HK,1,0,0,0,0,0
1735.HK,0,0,0,0,1,0
1776.HK,0,0,0,0,1,0
1787.HK,3,0,0,1,1,0
1788.HK,0,0,0,0,1,0
1801.HK,0,0,0,0,1,0
1833.HK,0,0,0,1,0,0
1882.HK,0,1,0,0,5,0
1898.HK,1,0,1,0,1,1
1913.HK,0,0,0,0,1,0
1919.HK,0,0,0,0,0,1
1929.HK,1,0,0,0,0,0
1988.HK,1,0,0,0,2,0
2018.HK,0,0,0,0,1,0
2020.HK,1,0,0,0,1,0
2076.HK,0,0,0,0,0,1
2096.HK,0,0,0,1,0,0
2099.HK,0,0,0,0,1,0
2268.HK,1,0,0,0,0,0
2282.HK,1,0,1,0,0,0
2318.HK,0,0,0,0,1,0
2319.HK,2,0,0,0,1,0
2328.HK,1,0,0,1,1,0
2331.HK,0,0,0,0,1,0
2333.HK,1,0,0,0,1,0
2367.HK,0,0,0,1,0,0
2382.HK,0,0,0,0,1,0
2601.HK,1,0,0,0,1,0
2618.HK,0,0,0,0,1,0
2628.HK,1,0,0,0,0,0
2688.HK,0,0,0,1,1,0
2799.HK,1,0,0,0,0,0
2888.HK,0,0,0,1,3,0
2899.HK,0,0,0,0,1,0
3328.HK,0,0,0,1,0,0
3800.HK,1,0,0,0,0,0
3808.HK,1,0,0,0,3,0
3968.HK,1,0,0,0,0,0
6088.HK,1,0,0,0,1,0
6186.HK,0,0,0,0,1,0
6690.HK,0,0,0,0,1,0
6823.HK,1,0,0,1,4,0
6862.HK,0,0,0,0,1,0
6969.HK,0,0,1,0,0,0
9863.HK,0,0,0,0,1,0
9866.HK,0,0,0,0,1,0
9888.HK,0,0,0,0,1,0
9896.HK,1,0,0,0,0,0
9961.HK,0,0,0,0,1,0
