sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0264.HK,0,0,1,0,1,0,2,50.00%,
0269.HK,1,1,1,0,1,2,6,50.00%,
0271.HK,0,2,0,0,2,0,4,50.00%,
0274.HK,2,0,0,1,0,0,3,66.67%,
0276.HK,1,1,0,1,3,0,6,33.33%,
0279.HK,0,0,0,0,1,0,1,0.00%,
0280.HK,1,1,0,0,2,0,4,50.00%,
0286.HK,0,0,0,0,1,0,1,0.00%,
0287.HK,0,0,0,0,0,1,1,0.00%,
0294.HK,1,0,0,0,3,0,4,25.00%,
0295.HK,0,0,1,0,1,0,2,50.00%,
0296.HK,1,0,0,0,1,0,2,50.00%,
0299.HK,1,0,0,0,3,0,4,25.00%,
0301.HK,0,1,0,0,0,0,1,100.00%,
0302.HK,1,0,0,0,2,0,3,33.33%,
0305.HK,0,0,0,0,2,1,3,0.00%,
0306.HK,1,0,0,0,3,0,4,25.00%,
0309.HK,0,0,0,0,1,0,1,0.00%,
0310.HK,0,0,0,0,2,0,2,0.00%,
0311.HK,0,0,0,0,3,0,3,0.00%,
0312.HK,0,0,0,0,1,1,2,0.00%,
0314.HK,0,1,0,0,0,0,1,100.00%,
0318.HK,0,1,0,0,0,0,1,100.00%,
0320.HK,0,0,0,1,0,0,1,0.00%,
0321.HK,6,0,1,2,0,0,9,77.78%,
0328.HK,0,0,0,1,3,0,4,0.00%,
0329.HK,2,0,0,0,2,1,5,40.00%,
0330.HK,0,0,0,1,2,0,3,0.00%,
0332.HK,2,0,0,0,1,0,3,66.67%,
0333.HK,0,0,1,1,1,1,4,25.00%,
0334.HK,0,0,1,0,3,0,4,25.00%,
0335.HK,1,0,0,0,1,1,3,33.33%,
0339.HK,0,0,0,0,1,0,1,0.00%,
0343.HK,0,1,1,0,1,1,4,50.00%,
0346.HK,1,0,0,2,2,0,5,20.00%,
0348.HK,0,0,0,0,1,0,1,0.00%,
0351.HK,0,0,1,0,1,0,2,50.00%,
0352.HK,1,0,0,1,2,0,4,25.00%,
0353.HK,0,0,0,1,1,2,4,0.00%,
0355.HK,1,0,0,2,0,0,3,33.33%,
0356.HK,1,0,0,1,0,0,2,50.00%,
0360.HK,0,1,0,1,4,0,6,16.67%,
0361.HK,2,0,1,1,2,1,7,42.86%,
0362.HK,0,0,0,0,1,0,1,0.00%,
0365.HK,2,0,0,0,2,0,4,50.00%,
0366.HK,1,0,0,0,1,0,2,50.00%,
0367.HK,0,0,1,1,0,0,2,50.00%,
0372.HK,1,0,0,0,2,0,3,33.33%,
0375.HK,0,0,1,3,1,1,6,16.67%,
0377.HK,0,0,0,1,2,0,3,0.00%,
0379.HK,0,0,0,0,3,0,3,0.00%,
0380.HK,1,0,0,1,1,0,3,33.33%,
0381.HK,0,1,0,0,1,1,3,33.33%,
0382.HK,1,0,0,0,1,0,2,50.00%,
0383.HK,0,0,0,1,1,0,2,0.00%,
0385.HK,1,0,0,0,1,0,2,50.00%,
0387.HK,0,0,0,0,1,0,1,0.00%,
0389.HK,0,0,1,0,0,2,3,33.33%,
0391.HK,1,0,0,1,3,1,6,16.67%,
0396.HK,0,0,0,1,1,0,2,0.00%,
0397.HK,0,0,0,1,3,0,4,0.00%,
0398.HK,0,0,0,0,2,0,2,0.00%,
0399.HK,0,0,0,1,3,0,4,0.00%,
0401.HK,0,0,1,0,0,0,1,100.00%,
0403.HK,0,0,0,0,1,0,1,0.00%,
0406.HK,1,0,0,0,4,0,5,20.00%,
0408.HK,2,0,0,0,1,0,3,66.67%,
0413.HK,0,0,0,1,3,0,4,0.00%,
0417.HK,1,0,0,0,1,0,2,50.00%,
0418.HK,0,1,0,0,1,0,2,50.00%,
0419.HK,1,0,0,3,2,1,7,14.29%,
0420.HK,1,0,0,2,0,0,3,33.33%,
0423.HK,0,0,0,0,0,1,1,0.00%,
0426.HK,0,0,0,0,1,0,1,0.00%,
0430.HK,0,0,1,0,0,0,1,100.00%,
0433.HK,1,1,0,0,0,0,2,100.00%,
0438.HK,0,0,0,1,0,0,1,0.00%,
0439.HK,0,0,0,0,1,0,1,0.00%,
0442.HK,0,1,0,0,1,0,2,50.00%,
0444.HK,1,0,0,0,1,0,2,50.00%,
0450.HK,0,0,0,0,2,0,2,0.00%,
0451.HK,0,0,0,0,1,0,1,0.00%,
0455.HK,1,0,2,0,2,1,6,50.00%,
0456.HK,0,1,0,1,1,0,3,33.33%,
0459.HK,0,0,0,0,1,0,1,0.00%,
0464.HK,1,0,0,1,0,1,3,33.33%,
0471.HK,1,0,0,0,3,0,4,25.00%,
0472.HK,1,0,0,1,1,0,3,33.33%,
0474.HK,0,0,0,0,2,0,2,0.00%,
0475.HK,1,0,0,1,0,0,2,50.00%,
0476.HK,0,0,0,0,2,0,2,0.00%,
0482.HK,0,0,0,0,2,0,2,0.00%,
0483.HK,0,0,1,0,4,0,5,20.00%,
0484.HK,3,0,0,0,1,1,5,60.00%,
0487.HK,2,0,0,0,0,0,2,100.00%,
0488.HK,0,0,1,0,0,0,1,100.00%,
0491.HK,0,0,0,0,2,0,2,0.00%,
0493.HK,0,0,0,2,2,0,4,0.00%,
0495.HK,1,0,0,0,0,1,2,50.00%,
0496.HK,0,0,0,0,1,0,1,0.00%,
0498.HK,2,0,0,0,4,1,7,28.57%,
0500.HK,1,1,1,0,1,0,4,75.00%,
0505.HK,0,0,0,1,0,0,1,0.00%,
0509.HK,0,0,0,0,1,0,1,0.00%,
0510.HK,1,0,0,0,1,0,2,50.00%,
0511.HK,1,0,0,0,4,0,5,20.00%,
0513.HK,1,0,0,2,2,0,5,20.00%,
0515.HK,2,0,1,1,2,0,6,50.00%,
0518.HK,0,0,0,1,3,0,4,0.00%,
0520.HK,1,0,0,0,0,1,2,50.00%,
0524.HK,0,0,0,1,3,0,4,0.00%,
0526.HK,0,0,0,1,1,0,2,0.00%,
0527.HK,0,0,1,0,3,0,4,25.00%,
0528.HK,0,0,0,0,1,1,2,0.00%,
0529.HK,0,0,0,0,1,0,1,0.00%,
0532.HK,0,0,0,1,1,0,2,0.00%,
0533.HK,2,0,0,1,2,0,5,40.00%,
0536.HK,0,0,0,0,1,0,1,0.00%,
0538.HK,2,0,1,0,0,0,3,100.00%,
0540.HK,0,0,0,1,2,1,4,0.00%,
0543.HK,1,0,0,0,1,0,2,50.00%,
0544.HK,1,0,0,0,0,0,1,100.00%,
0550.HK,1,0,0,0,0,0,1,100.00%,
0553.HK,3,0,1,0,5,1,10,40.00%,
0554.HK,0,0,2,0,0,0,2,100.00%,
0556.HK,3,0,0,0,0,0,3,100.00%,
0557.HK,0,0,0,0,2,0,2,0.00%,
0559.HK,0,1,0,1,0,0,2,50.00%,
0567.HK,1,0,0,1,2,1,5,20.00%,
0568.HK,1,0,0,1,3,0,5,20.00%,
0571.HK,1,0,0,0,3,1,5,20.00%,
0573.HK,1,0,0,0,1,0,2,50.00%,
0574.HK,0,0,0,0,1,0,1,0.00%,
0575.HK,2,0,0,1,0,1,4,50.00%,
0582.HK,0,0,0,0,3,1,4,0.00%,
0585.HK,0,0,0,0,4,0,4,0.00%,
0595.HK,0,2,0,1,2,0,5,40.00%,
0599.HK,2,0,1,0,2,0,5,60.00%,
0601.HK,0,0,0,0,2,0,2,0.00%,
0602.HK,2,0,0,1,1,0,4,50.00%,
0603.HK,1,0,0,0,2,0,3,33.33%,
0605.HK,0,1,0,0,0,0,1,100.00%,
0608.HK,1,0,1,0,0,0,2,100.00%,
0609.HK,1,0,1,1,0,0,3,66.67%,
0610.HK,0,0,0,1,0,0,1,0.00%,
0611.HK,1,0,0,1,2,0,4,25.00%,
0612.HK,1,0,0,0,0,1,2,50.00%,
0617.HK,2,1,0,1,0,0,4,75.00%,
0618.HK,0,0,0,0,2,0,2,0.00%,
0619.HK,1,0,0,2,0,0,3,33.33%,
0620.HK,4,0,2,0,0,0,6,100.00%,
0623.HK,0,0,0,1,1,0,2,0.00%,
0626.HK,2,0,0,1,3,0,6,33.33%,
0629.HK,1,1,0,0,2,0,4,50.00%,
0630.HK,0,1,0,0,2,0,3,33.33%,
0632.HK,2,0,0,0,4,1,7,28.57%,
0637.HK,0,0,0,0,1,1,2,0.00%,
0641.HK,1,0,1,0,2,0,4,50.00%,
0643.HK,1,0,0,1,1,0,3,33.33%,
0646.HK,2,0,2,0,0,0,4,100.00%,
0648.HK,0,1,0,0,1,0,2,50.00%,
0650.HK,0,0,1,0,1,0,2,50.00%,
0653.HK,1,0,0,0,2,0,3,33.33%,
0657.HK,1,0,0,0,3,1,5,20.00%,
0660.HK,0,0,0,0,2,1,3,0.00%,
0661.HK,0,0,1,0,1,0,2,50.00%,
0663.HK,1,0,0,1,0,0,2,50.00%,
0673.HK,0,0,0,2,0,0,2,0.00%,
0679.HK,3,0,0,0,1,0,4,75.00%,
0681.HK,2,0,0,1,0,0,3,66.67%,
0682.HK,0,0,0,1,1,0,2,0.00%,
0687.HK,2,0,0,0,2,0,4,50.00%,
0689.HK,0,1,0,0,0,0,1,100.00%,
0690.HK,0,0,0,1,1,0,2,0.00%,
0701.HK,1,0,1,0,2,2,6,33.33%,
0702.HK,0,0,0,1,1,1,3,0.00%,
0703.HK,3,0,0,0,1,0,4,75.00%,
0704.HK,0,1,0,1,1,0,3,33.33%,
0707.HK,0,1,0,0,4,0,5,20.00%,
0711.HK,0,0,0,0,2,0,2,0.00%,
0712.HK,0,0,0,0,4,0,4,0.00%,
0713.HK,0,0,0,1,1,0,2,0.00%,
0716.HK,2,0,0,1,2,0,5,40.00%,
0717.HK,1,0,0,0,0,0,1,100.00%,
0719.HK,0,0,0,1,2,0,3,0.00%,
0721.HK,0,0,0,1,1,0,2,0.00%,
0722.HK,1,0,0,0,0,0,1,100.00%,
0723.HK,1,0,0,1,1,0,3,33.33%,
0724.HK,4,0,0,0,0,0,4,100.00%,
0726.HK,0,0,1,0,2,0,3,33.33%,
0730.HK,0,1,0,2,4,1,8,12.50%,
0731.HK,0,0,1,0,1,0,2,50.00%,
0733.HK,1,0,0,1,2,0,4,25.00%,
0738.HK,0,0,0,0,1,0,1,0.00%,
0745.HK,1,0,1,0,2,0,4,50.00%,
0750.HK,1,0,0,1,2,0,4,25.00%,
0755.HK,2,0,0,0,3,0,5,40.00%,
