index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,F20D,F30D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,BOSS_PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,cl_price,tp1_price,tp2_price,tp3_price,HHHL_PATTERN,WLow,WLDate,WHigh,WHDate,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,DT,XGB,LGBM,LR,MLP,RF,SVM,VOTING,SNO
2026-01-07,1055.HK,6.0,6.179999828338623,6.0,6.019999980926514,6.019999980926514,14243145,0.0,0.0,0.0282392154206918,0.0697674547549258,-0.0033222559783855,5.801191142755815,5.603400591558216,5.259753050178773,4.829719416146734,4.253249217652978,True,True,True,False,0.179999828338623,0.2188888920678032,0.3283333381017049,HH,HHLLHH,5.46999979019165,2026-01-14,6.190000057220459,2026-01-21,6.25,0.14,5.5,5.050000190734863,SB1-2026/01/07,True,True,True,False,False,False,False,False,False,False,False,True,0.8,4,2,0,2,True,5.86,5.46999979019165,6.25,6.64,7.029999999999999,HHHLHHHLHH,5.949999809265137,2025-12-22,5.5,2025-12-30,False,32.822161136297,31.89190589397897,9.72973509371334,75.28089857540897,5.631356428954002,6.127356385084984,5.1353564728230205,17.615647753381914,1.4792267061485649,0.5771557927123565,1,5.281399984359741,5.559000039100647,True,30.021594646406204,10.86556484787972,6.159999847412109,False,-2.2727251615827773,4.7%,4.680210459160672,True,2,False,True,False,False,False,True,True,75.3,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1055.HK
2026-01-23,1055.HK,6.019999980926514,6.059999942779541,5.880000114440918,5.949999809265137,5.949999809265137,12296000,0.0,0.0,0.0689076197298073,0.0403361774199726,-0.1176470305385759,5.93085741835187,5.800311047625825,5.496192213095731,5.052258942440454,4.4011038683236725,True,True,True,False,0.179999828338623,0.2158822732813218,0.3238234099219827,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2026/01/07,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,5.86,5.46999979019165,6.25,6.64,7.029999999999999,,0.0,,0.0,,False,26.060471957064237,16.850837389523914,22.92819462549041,50.82872171315696,5.821604247532916,6.32360410257442,5.319604392491412,17.24610034267588,0.4899666409298797,0.9625949933709204,1,5.542399978637695,5.844499969482422,True,20.202020980450445,11.007456362951356,6.25,False,-4.8000030517578125,3.3%,3.258374820962051,False,1,False,False,False,False,False,True,False,50.8,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1055.HK
2026-01-09,1072.HK,25.39999961853028,26.940000534057617,25.100000381469727,25.920000076293945,25.920000076293945,9932800,0.0,0.0,0.0910494059955648,-0.0316357906022607,0.5624999954008763,25.183039610331377,24.06649889768874,22.271831572515545,20.212934889783952,16.58470371750154,True,True,True,False,1.8400001525878904,1.091764674467199,1.6376470117007984,HH,HHLLHH,24.18000030517578,2026-01-15,28.280000686645508,2026-01-23,29.0,0.2,24.299999237060547,22.18000030517578,SB1-2026/01/09,True,True,True,False,False,False,False,False,False,False,False,True,0.83,5,1,2,2,True,26.59,24.18000030517578,29.0,31.41,33.82,HHHLHHHLHH,26.420000076293945,2025-12-29,24.71999931335449,2025-12-30,False,45.22539411354132,24.591961760044896,13.275302750100076,58.92115353376709,24.236036879478984,26.90203667348533,21.57003708547264,22.00029491012772,1.0699024779376516,0.2033955466388661,1,21.99020000457764,24.0520001411438,True,43.20441729288645,32.379980476465064,26.420000076293945,False,-1.8925056720519784,1.4%,1.4153830380895682,False,1,False,False,False,False,False,True,True,58.9,True,True,False,False,True,False,False,False,False,False,False,False,False,False,1072.HK
2026-01-29,1072.HK,28.0,28.0,26.07999992370605,26.34000015258789,26.34000015258789,11168684,0.0,0.0,0.2892938074313604,0.2961275319618477,,27.16099885514579,26.229110111305808,24.259115734604997,21.829553245524817,17.66559552487808,False,True,True,False,1.9200000762939489,1.1922221713595924,1.7883332570393886,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2026/01/09,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,26.59,24.18000030517578,29.0,31.41,33.82,,0.0,,0.0,,False,49.15639870494264,23.716632162056527,15.092408515784792,52.60545970299788,26.39047192553644,29.022471704284,23.758472146788883,19.9465912256062,0.0618441235811615,0.3858271998529948,1,23.75120018005371,26.419000244140623,True,14.322912786156095,20.164233854515764,29.0,False,-9.172413266938308,-7.5%,-7.507995977982363,False,1,False,False,False,False,False,True,True,52.6,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1072.HK
2026-01-27,1114.HK,4.050000190734863,4.099999904632568,4.010000228881836,4.03000020980835,4.03000020980835,19028000,0.0,0.0,0.0248138708254122,0.0124068762517715,-0.0248139299863467,4.1553396578153805,4.157257819801274,4.063465027683193,3.910139711266592,3.729001510895108,False,False,True,False,0.0899996757507324,0.1233331627315945,0.1849997440973917,LH,LHLLHH,3.7799999713897705,2026-02-03,4.269999980926514,2026-02-23,4.309999942779541,0.14,3.900000095367432,3.900000095367432,SB1-2026/01/27,True,True,True,False,False,False,False,False,False,False,False,True,0.8,8,5,2,1,True,4.04,3.7799999713897705,4.309999942779541,4.579999885559082,4.849999828338623,LHLLHHLLLH,4.429999828338623,2026-01-15,3.900000095367432,2026-01-23,False,19.045563769911507,20.85563570000426,25.1337377019835,45.05495945047361,4.162209494740096,4.435209139019576,3.889209850460616,13.11801554556432,0.9894344032301248,0.6447427818105157,1,4.011000003814697,4.181500005722046,True,9.510873279944418,-6.496513612262792,4.449999809265137,False,-9.438193650757592,-11.1%,-11.113902511378791,True,2,True,True,False,False,False,False,False,45.1,True,False,True,False,False,False,True,False,False,False,True,False,False,False,1114.HK
2026-03-03,1114.HK,4.079999923706055,4.110000133514404,3.930000066757202,3.930000066757202,3.930000066757202,30205625,0.0,0.0,0.0,,,4.109634934558538,4.114058103358048,4.081619632455456,3.971636774652132,3.784141740345549,False,False,True,False,0.1800000667572021,0.110625073313713,0.1659376099705695,HL,HLLHLL,4.110000133514404,2026-03-04,3.930000066757202,2026-03-05,3.930000066757202,-0.04,3.930000066757202,3.7799999713897705,BY1-2026/01/27,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,4.04,3.7799999713897705,4.309999942779541,4.579999885559082,4.849999828338623,LLLHLLHHHL,3.7799999713897705,2026-02-03,4.309999942779541,2026-02-23,False,24.345245336311063,23.33330242723269,19.99996026358489,49.46236559139785,4.114493272926993,4.373493335869498,3.855493209984489,12.589645711500014,1.1808515697968007,0.5711309853472888,1,4.126200013160705,4.083500015735626,False,-5.980855785843069,-9.447006253817994,4.309999942779541,False,-8.816702576967437,-0.1%,-0.1180893558010987,True,2,False,False,False,True,False,True,True,49.5,True,False,False,True,True,False,True,False,False,False,False,False,False,False,1114.HK
2026-01-30,1179.HK,38.119998931884766,38.77999877929688,38.0,38.27999877929688,38.27999877929688,2036328,0.0,0.0,0.0898642254729304,0.098223674402623,,38.79424061054335,38.50345016322231,37.06468539269351,34.64444354815056,31.298651112894927,False,True,True,False,0.7799987792968821,0.7700004577636723,1.1550006866455085,LH,LHLLHH,36.380001068115234,2026-02-02,41.5,2026-02-10,41.77999877929688,0.15,37.29999923706055,36.5,SB1-2026/01/30,True,True,True,False,False,False,False,False,False,False,False,True,1.0,6,4,2,0,True,39.08,36.380001068115234,41.77999877929688,44.479997558593766,47.17999633789065,LHHLHHLLLH,39.59999847412109,2026-01-28,37.29999923706055,2026-01-29,False,21.01364732534724,17.351536664507716,23.74429210488046,43.22765794417804,38.57651867365608,40.58651890253792,36.566518444774246,10.420848215391016,0.7589506620935293,0.0217332627497908,1,37.41599998474121,38.79500026702881,True,9.496566881487109,1.5384562456762316,40.08000183105469,False,-4.491025373065556,5.7%,5.747157447915896,True,2,True,True,False,False,False,True,False,43.2,True,False,True,False,False,False,False,False,False,False,False,False,False,False,1179.HK
2026-01-23,0012.HK,30.65999984741211,30.979999542236328,30.0,30.200000762939453,30.200000762939453,9563811,0.0,0.0,0.0589403554413561,0.1403972767104275,0.1496688855488535,30.62359803418512,30.21204801601933,29.59883075624908,28.763256377146373,26.96236224685714,False,True,True,False,0.979999542236328,0.705000042915344,1.057500064373016,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/12/22,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,30.04,28.07999992370605,32.0,33.96,35.92,,0.0,,0.0,,False,33.264583407399265,28.469741287837117,15.836288394513018,64.10256645383225,30.27224069219389,31.804240470941448,28.74024091344633,10.12148254451878,0.1778620480695585,0.6051629974924739,1,29.73119998931885,29.989000129699708,True,2.861035882580099,3.071677642709716,32.0,False,-5.624997615814209,-8.4%,-8.350579459876172,True,2,False,True,False,True,False,True,True,64.1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,12.HK
2026-01-14,1308.HK,27.68000030517578,28.200000762939453,27.07999992370605,27.57999992370605,27.57999992370605,4865517,0.0,0.0,0.064539546467349,0.1167512444619982,0.2255257190196062,27.427024236686808,27.500263234006447,27.8133503216118,27.620929878438933,25.350858473850167,False,False,False,False,1.120000839233402,0.7324999570846555,1.0987499356269832,LH,LHLLHH,25.63999938964844,2026-01-19,29.71999931335449,2026-01-29,30.100000381469727,0.17,26.07999992370605,26.07999992370605,SB1-2026/01/14,False,False,False,False,False,False,False,False,False,False,False,True,0.88,7,2,3,2,True,27.87,25.63999938964844,30.100000381469727,32.33000076293945,34.56000114440918,LHHLHHLLLH,28.700000762939453,2025-12-30,26.07999992370605,2026-01-07,False,49.12626207394543,26.379321316050746,16.206888783984745,53.47984516244419,27.47886722640674,29.542867165371582,25.414867287441897,15.02245286866392,0.1988786607569619,0.1551421753569666,1,28.15879985809326,27.46199970245361,False,-1.850535411759584,3.2958769124383998,31.65999984741211,False,-12.886923383985922,-2.3%,-2.320517132256405,True,2,False,True,False,False,False,True,True,53.5,True,False,False,False,True,False,False,False,False,True,True,False,False,False,1308.HK
2026-01-23,1316.HK,7.519999980926514,7.599999904632568,7.179999828338623,7.429999828338623,7.429999828338623,25120000,0.0,0.0,-0.0955585537753278,0.0255720136756643,-0.084791339456145,7.186516681766671,6.976900373985656,6.779782730552326,6.6455424436451045,5.983925707289574,True,True,True,False,0.4200000762939453,0.3557895108273154,0.5336842662409732,HH,HHLLHH,6.320000171661377,2026-02-02,8.100000381469727,2026-02-24,8.25,0.31,6.519999980926514,6.349999904632568,SB1-2026/01/23,True,True,True,False,False,False,False,False,False,False,False,True,0.67,8,5,2,1,True,7.29,6.320000171661377,8.25,9.21,10.17,HHHLLHLLHH,7.480000019073486,2026-01-16,6.739999771118164,2026-01-21,False,38.58494543424433,30.977123516278184,17.46361911242471,63.63635969556119,7.007485921751702,7.74148593701049,6.273485906492913,20.94902575488319,1.3799469261428572,0.3399660494969092,1,6.49939998626709,7.039499998092651,True,9.26470029312862,23.421924449825365,7.489999771118164,False,-0.8010673513089275,-14.8%,-14.793924764826835,False,1,False,False,False,False,False,True,True,63.6,True,False,False,False,True,False,True,False,False,True,False,False,False,False,1316.HK
