Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,SNO
2025-08-26,1310.HK,5.070000171661377,5.079999923706055,5.059999942779541,5.059999942779541,5.059999942779541,4202116,0.0,0.0,5.059199478388035,5.045934619622527,5.020459051455899,4.947409182792489,4.501417947397497,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-08-27,1310.HK,5.070000171661377,5.070000171661377,5.059999942779541,5.059999942779541,5.059999942779541,18159000,0.0,0.0,5.059345017368309,5.047157691201398,5.022009674645061,4.949638702792233,4.505868799950342,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-08-28,1310.HK,5.059999942779541,5.070000171661377,5.050000190734863,5.059999942779541,5.059999942779541,1515150,0.0,0.0,5.059464094715805,5.048274408729932,5.023499489081708,4.95182407388109,4.510284187542607,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-08-29,1310.HK,5.059999942779541,5.070000171661377,5.050000190734863,5.050000190734863,5.050000190734863,1665780,0.0,0.0,5.057743384901087,5.048424476730361,5.024538732283792,4.953768155402947,4.514584713464457,True,True,LL,LLHHHL,5.150000095367432,2025-09-04,5.079999923706055,2025-09-15,5.059999942779541,5.050000190734863,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-01,1310.HK,5.059999942779541,5.079999923706055,5.050000190734863,5.050000190734863,5.050000190734863,2457154,0.0,0.0,5.05633553141632,5.048561495339448,5.025537220850501,4.9556737402610045,4.518850972247489,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-02,1310.HK,5.059999942779541,5.079999923706055,5.059999942779541,5.070000171661377,5.070000171661377,1658566,0.0,0.0,5.058820011460876,5.050425728063095,5.02728086598034,4.957937629991705,4.523242599334452,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-03,1310.HK,5.070000171661377,5.079999923706055,5.050000190734863,5.059999942779541,5.059999942779541,2420753,0.0,0.0,5.059034544427906,5.05125826847322,5.02856396703129,4.959958665888494,4.527519550278238,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-04,1310.HK,5.079999923706055,5.150000095367432,5.070000171661377,5.090000152587891,5.090000152587891,6777180,0.0,0.0,5.064664655002448,5.054627127961453,5.03097322920998,4.962533744833037,4.532001467428116,True,True,HH,HHHLHH,5.059999942779541,2025-09-15,6.630000114440918,2025-09-19,9.40999984741211,5.050000190734863,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-05,1310.HK,5.090000152587891,5.119999885559082,5.090000152587891,5.099999904632568,5.099999904632568,3852979,0.0,0.0,5.071089245844288,5.05857258680242,5.033680157657925,4.965255847007285,4.536527351389904,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-08,1310.HK,5.099999904632568,5.099999904632568,5.070000171661377,5.070000171661377,5.070000171661377,3378434,0.0,0.0,5.070891232356486,5.059566289833634,5.035104471932571,4.96732999204994,4.5407781308342985,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-09,1310.HK,5.070000171661377,5.090000152587891,5.070000171661377,5.070000171661377,5.070000171661377,3914500,0.0,0.0,5.070729221321011,5.060473583905612,5.036472930745465,4.969363064913533,4.544995039526148,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-10,1310.HK,5.070000171661377,5.079999923706055,5.059999942779541,5.079999923706055,5.079999923706055,3985500,0.0,0.0,5.072414803572837,5.062171526496955,5.03817987164588,4.971553893800514,4.549258026651088,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-11,1310.HK,5.079999923706055,5.079999923706055,5.070000171661377,5.079999923706055,5.079999923706055,1622101,0.0,0.0,5.07379391632433,5.063721821906442,5.039819873687455,4.973701339937257,4.553487045751127,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-12,1310.HK,5.079999923706055,5.079999923706055,5.070000171661377,5.079999923706055,5.079999923706055,2956941,0.0,0.0,5.074922281302825,5.065137309019452,5.041395561923479,4.975806262388125,4.55768236748782,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-15,1310.HK,5.079999923706055,5.079999923706055,5.059999942779541,5.079999923706055,5.079999923706055,1517000,0.0,0.0,5.075845489012504,5.066429710296548,5.042909458463972,4.977869503206302,4.561844260366053,True,True,HL,HLHHHL,9.40999984741211,2025-09-19,6.25,2025-10-13,6.079999923706055,5.050000190734863,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-16,1310.HK,5.059999942779541,5.079999923706055,5.059999942779541,5.070000171661377,5.070000171661377,864319,0.0,0.0,5.0747827040395705,5.066740185197838,5.043971839373675,4.97969387287868,4.565893311452071,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
2025-09-17,1310.HK,5.070000171661377,5.119999885559082,5.059999942779541,5.119999885559082,5.119999885559082,1397000,0.0,0.0,5.083004009770391,5.07137146349012,5.046953331380947,4.98247220976344,4.570308503277625,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,1310.HK
