Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-24,ADAM,6.960000038146973,7.070000171661377,6.940000057220459,6.940000057220459,6.940000057220459,310000,0.0,0.0,6.923148204586123,6.9556635785534695,6.971179743466368,6.873252101196755,6.734045723098136,False,False,6.449999809265137,7.190000057220459,7.190000057220459,6.739999771118164,6.739999771118164,SB1-2025/10/24,False,False,False,False,False,False,True,1.0,8,4,True,False,LH,LHLLHH,2025-10-30,2025-11-16,2.0,2.0,6.82,7.190000057220459,7.560000114440918,7.930000171661376,ADAM
2025-10-31,ADTN,10.59000015258789,10.75,10.25,10.420000076293944,10.420000076293944,2082200,0.0,0.0,9.984601314709526,9.672597596050784,9.45403766334373,9.229357425546056,8.730560545920417,True,True,7.710000038146973,8.029999732971191,8.09000015258789,7.880000114440918,7.880000114440918,TP2-2025/06/03,False,False,True,False,False,False,False,0.0,0,0,False,False,HH,HHLLLH,2025-11-07,2025-11-18,,,,,,,ADTN
2025-10-21,AKAM,74.25,76.5199966430664,74.05000305175781,76.12999725341797,76.12999725341797,1555900,0.0,0.0,74.64344651660815,75.28383649409777,76.06646934377083,77.40904394634693,82.89368493786878,False,False,70.81999969482422,90.61000061035156,92.0,72.27999877929688,72.27999877929688,SB1-2025/10/21,False,False,False,False,False,False,True,0.8,4,2,True,False,LH,LHLLHH,2025-11-04,2025-11-16,1.0,1.0,81.41,92.0,102.59,113.18,AKAM
2025-11-05,AMWD,63.27000045776367,63.27000045776367,54.11000061035156,54.77999877929688,54.77999877929688,521600,0.0,0.0,62.50453084433384,64.02163963378611,64.26302360469525,63.46386311676004,67.10419026192629,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/07/29,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,AMWD
2025-10-29,ARAY,1.4500000476837158,1.5099999904632568,1.4199999570846558,1.440000057220459,1.440000057220459,733800,0.0,0.0,1.574209745520604,1.6213926446762597,1.6045490956569652,1.5820363386973746,1.6985776627033813,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/07/23,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,ARAY
2025-11-06,ARAY,1.2799999713897705,1.2999999523162842,1.100000023841858,1.2200000286102295,1.2200000286102295,3325100,0.0,0.0,1.424018237326138,1.514634651994503,1.5546919726162247,1.5583011744947592,1.683312579474548,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/07/23,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,ARAY
2025-10-30,AUDC,8.90999984741211,8.979999542236328,8.829999923706055,8.84000015258789,8.84000015258789,39100,0.0,0.0,9.05098358764152,9.256758511750975,9.474032333260045,9.578350938307697,9.82030869342333,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/08/11,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,AUDC
2025-11-07,AVAV,319.8999938964844,332.1700134277344,307.32000732421875,329.6499938964844,329.6499938964844,1416400,0.0,0.0,354.49766945476927,357.2792185410904,333.3407922075871,294.5920804330578,238.2879023863144,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/08/29,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,AVAV
2025-10-30,AVIR,3.259999990463257,3.3350000381469727,3.2149999141693115,3.2699999809265137,3.2699999809265137,490300,0.0,0.0,3.2210955713447267,3.167533337709121,3.182976748297612,3.2159201998410687,3.2767865864867134,False,True,3.150000095367432,3.380000114440918,3.4049999713897705,3.005000114440918,2.7799999713897705,TP1-2025/05/02,False,True,False,False,False,False,False,0.0,0,0,False,False,HH,HHHLHH,2025-11-03,2025-11-16,,,,,,,AVIR
2025-11-07,AVPT,13.170000076293944,13.175000190734863,11.489999771118164,12.079999923706056,12.079999923706056,4239300,0.0,0.0,13.793815055048992,14.248562710303275,14.933996634106212,15.668708974958278,15.464958762420435,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/04/02,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,AVPT
2025-11-04,AXON,715.4600219726562,719.9199829101562,698.3200073242188,706.1300048828125,706.1300048828125,1132900,0.0,0.0,724.8338263309479,721.7892811557169,728.2185048175144,724.4828258084079,651.2415590790773,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/09,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,AXON
2025-11-06,AXON,628.5999755859375,631.989990234375,584.2100219726562,587.1400146484375,587.1400146484375,1891500,0.0,0.0,687.1087667968277,703.5496689867072,719.3444269250622,720.1142441435126,650.6382144157274,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/10/09,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,AXON
2025-10-29,CBLL,12.81999969482422,12.81999969482422,12.010000228881836,12.029999732971191,12.029999732971191,331900,0.0,0.0,12.68198133948844,12.540834358393838,12.69031123954533,13.884454912483855,17.343264034557087,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/05,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,CBLL
