Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,T1_100,BOSS_STATUS,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-30,1156.HK,0.1019999980926513,0.1110000014305114,0.0979999974370002,0.1089999973773956,0.1089999973773956,607687,0.0,0.0,0.1128461184974909,0.1226140011214119,0.1266328083896908,0.1231846734988679,0.1240749715363912,False,False,LL,LLLHHL,0.1180000007152557,2025-11-10,0.1169999986886978,2025-11-12,0.1129999980330467,0.0979999974370002,0.0979999974370002,True,False,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/07/08,,,,,1156.HK
2025-10-22,1165.HK,0.0230000000447034,0.0240000002086162,0.0230000000447034,0.0240000002086162,0.0240000002086162,904000,0.0,0.0,0.023591371788555,0.0237815853249863,0.0236687945847245,0.0230238577096475,0.0234767178281758,False,False,LH,LHLLHH,0.0179999992251396,2025-10-31,0.025000000372529,2025-11-06,0.025000000372529,0.0179999992251396,0.0179999992251396,False,False,False,False,False,False,True,1.0,4,2,0.0,2.0,True,False,SB1-2025/10/22,0.02,0.025000000372529,0.0300000007450579,0.035000001117587,1165.HK
2025-10-28,1165.HK,0.0230000000447034,0.0230000000447034,0.0209999997168779,0.0209999997168779,0.0209999997168779,11002000,0.0,0.0,0.0226800757640983,0.0232305862438532,0.0234204847084147,0.0229447451399794,0.0234301471975499,False,False,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,True,False,False,0.0,0,0,,,False,False,CL1-2025/07/23,,,,,1165.HK
2025-10-30,0117.HK,0.550000011920929,0.6100000143051147,0.5099999904632568,0.6000000238418579,0.6000000238418579,72000,0.0,0.0,0.5553715548082879,0.5336611067597787,0.507953244634731,0.4563225893976284,0.4326127388044199,True,True,,,0.0,,0.0,,0.0,0.0,0.0,True,False,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/09/15,,,,,117.HK
2025-10-21,1292.HK,4.349999904632568,4.349999904632568,4.300000190734863,4.300000190734863,4.300000190734863,13000,0.0,0.0,4.297296229829499,4.3124657142075895,4.065187477415957,3.659532909608835,3.052919306938881,False,False,LH,LHLLHH,4.050000190734863,2025-11-05,4.5,2025-11-06,4.75,4.110000133514404,4.079999923706055,False,False,False,False,False,False,True,1.0,1,0,0.0,1.0,False,False,,,,,,1292.HK
2025-10-14,1334.HK,1.0800000429153442,1.1399999856948853,1.0299999713897705,1.1399999856948853,1.1399999856948853,272500,0.0,0.0,1.148662036207606,1.095276150657401,1.042712413020623,1.0105722188003865,,False,True,,,0.0,,0.0,,0.0,0.0,0.0,True,False,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/08/28,,,,,1334.HK
2025-11-07,1343.HK,0.163000002503395,0.1749999970197677,0.1260000020265579,0.1389999985694885,0.1389999985694885,23715000,0.0,0.0,0.0984977022189676,0.086184231233317,0.0797393159548509,0.0775370751389166,0.0805143299152306,False,True,,,0.0,,0.0,,0.0,0.0,0.0,True,False,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/09/17,,,,,1343.HK
2025-10-17,1393.HK,0.0640000030398368,0.0640000030398368,0.061999998986721,0.061999998986721,0.061999998986721,1973000,0.0,0.0,0.0617404538074541,0.0619151573790497,0.0627739301695167,0.0631267845707281,0.0727202995638463,False,False,LH,LHLLHH,0.0520000010728836,2025-10-31,0.0829999968409538,2025-11-15,0.0879999995231628,0.0579999983310699,0.0579999983310699,False,False,False,False,False,False,True,0.67,4,2,1.0,1.0,True,False,SB1-2025/10/17,0.07,0.0879999995231628,0.1059999990463256,0.1239999985694883,1393.HK
2025-10-22,1466.HK,0.5299999713897705,0.550000011920929,0.5299999713897705,0.550000011920929,0.550000011920929,128000,0.0,0.0,0.5315915296857373,0.5395234205157049,0.5685041423207653,0.5885223763442159,0.5962496488542681,False,False,LH,LHLLHH,0.4799999892711639,2025-10-24,0.5699999928474426,2025-11-03,0.6800000071525574,0.4900000095367431,0.4900000095367431,False,False,False,False,False,False,True,0.8,4,3,0.0,1.0,True,False,SB1-2025/10/22,0.58,0.6800000071525574,0.7800000143051148,0.8800000214576722,1466.HK
2025-11-04,1466.HK,0.6299999952316284,0.6299999952316284,0.5799999833106995,0.6000000238418579,0.6000000238418579,416000,0.0,0.0,0.5440255837268293,0.5389535387407168,0.5591545846195555,0.5802830205100902,0.5922582159987614,False,False,,,0.0,,0.0,,0.0,0.0,0.0,True,False,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/10/22,,,,,1466.HK
2025-10-17,1488.HK,0.6000000238418579,0.6000000238418579,0.5600000023841858,0.5799999833106995,0.5799999833106995,4112000,0.0,0.0,0.6051734220757612,0.6535143567111491,0.7535652893464471,0.8387157051457611,0.8967846315543041,False,False,LH,LHLLHH,0.4399999976158142,2025-10-30,0.7400000095367432,2025-10-31,0.7699999809265137,0.449999988079071,0.449999988079071,False,False,False,False,False,False,True,1.0,1,1,0.0,0.0,False,False,,,,,,1488.HK
