Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,BOSS_STATUS,BOSS1,bullish_count,bullish_ratio,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1,tp2
2025-09-24,3877.HK,1.909999966621399,1.940000057220459,1.8799999952316284,1.909999966621399,1.8597368001937864,19038000,0.0,0.0,1.8517599403216791,1.8882078685830108,1.939647446023381,1.9059831139731933,1.7373008866785264,False,False,False,False,LH,LHLLHH,1.7799999713897705,2025-10-06,1.950000047683716,2025-10-21,1.9700000286102293,SB-20250924,True,8,0.8,0,4,4,1.88,1.9700000286102293,2.060000057220458
2025-09-26,3866.HK,4.260000228881836,4.389999866485596,4.230000019073486,4.28000020980835,4.28000020980835,7098000,0.0,0.0,4.276046979891002,4.287266514403183,4.250177815876645,4.067710422157666,3.5074945278391643,False,False,False,False,LH,LHLLHH,4.090000152587891,2025-10-13,4.449999809265137,2025-10-17,4.5,SB-20250926,True,3,0.75,0,3,0,4.3,4.5,4.7
2025-10-03,3633.HK,3.5999999046325684,3.5999999046325684,3.359999895095825,3.4200000762939453,3.4200000762939453,1122000,0.0,0.0,3.4385613098826973,3.5443833776015903,3.686660068699601,3.846791514201059,4.152332120828285,False,False,False,False,LH,LHLLHH,3.0299999713897705,2025-10-13,3.839999914169312,2025-10-20,4.510000228881836,SB-20251003,True,3,0.6,1,0,2,3.77,4.510000228881836,5.250000457763672
2025-09-29,3618.HK,6.090000152587891,6.210000038146973,6.059999942779541,6.130000114440918,6.130000114440918,16356592,0.0,0.0,5.988985671013964,6.004624256280455,6.121012546975529,6.084046103453652,5.404309856436721,False,False,False,False,LH,LHLLHH,5.639999866485596,2025-10-08,6.630000114440918,2025-10-17,6.690000057220459,SB-20250929,True,5,0.71,3,1,1,6.16,6.690000057220459,7.220000114440918
2025-09-26,2517.HK,3.2799999713897705,3.400000095367432,3.1600000858306885,3.1600000858306885,3.1600000858306885,24378573,0.0,0.0,3.2043766545379264,3.2598376173945898,3.2877515388018765,3.13778731525951,3.0665743813603474,False,False,False,False,LH,LHLLHH,3.059999942779541,2025-10-09,3.650000095367432,2025-10-16,3.7699999809265137,SB-20250926,True,4,0.8,1,3,0,3.41,3.7699999809265137,4.129999961853027
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,7.970308186433573,8.025548721620398,7.778112927870347,7.162645361895501,6.344646337214218,False,False,True,False,LH,LHLLHH,7.590000152587891,2025-09-25,8.300000190734863,2025-10-02,8.34000015258789,SB-20250922,True,3,0.75,2,0,1,7.97,8.34000015258789,8.710000305175782
2025-09-22,1119.HK,1.1399999856948853,1.1799999475479126,1.1299999952316284,1.149999976158142,1.149999976158142,9894800,0.0,0.0,1.1030220099139587,1.1034076238126294,1.0721653420526982,1.076938497793949,1.4068910716140834,False,False,False,False,LH,LHLLHH,0.9900000095367432,2025-09-26,1.190000057220459,2025-10-03,1.2300000190734863,SB-20250922,True,4,1.0,1,2,1,1.11,1.2300000190734863,1.3500000381469726
2025-10-02,999.HK,10.550000190734863,10.550000190734863,9.93000030517578,9.93000030517578,9.93000030517578,224189,0.0,0.0,10.391150980013355,10.651600308433885,10.51609176734335,10.10425558989574,9.50107545073078,False,False,False,False,LH,LHLLHH,9.600000381469728,2025-10-06,10.920000076293944,2025-10-26,11.140000343322754,SB-20251002,True,6,0.6,2,2,2,10.37,11.140000343322754,11.910000686645509
