sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
0357.HK,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0363.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0369.HK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
0371.HK,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,60.0
0373.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0376.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,100.0
0390.HK,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,75.0
0393.HK,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,75.0
0410.HK,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
0411.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,50.0
0412.HK,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,71.43
0434.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,50.0
0440.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
0460.HK,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,33.33
0467.HK,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,66.67
0468.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
0489.HK,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,100.0
0506.HK,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,100.0
0512.HK,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,6.0,66.67
0517.HK,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,75.0
0521.HK,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,8.0,62.5
0525.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
0546.HK,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,60.0
0547.HK,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,50.0
0548.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0551.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0552.HK,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,71.43
0558.HK,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,50.0
0564.HK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
0565.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0570.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,66.67
0576.HK,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,50.0
0579.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,100.0
0580.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0581.HK,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
0586.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0590.HK,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,100.0
0596.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,33.33
0598.HK,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,40.0
0604.HK,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,50.0
0622.HK,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0,33.33
0631.HK,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,50.0
0639.HK,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0658.HK,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,62.5
0662.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0667.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0670.HK,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,42.86
0686.HK,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,50.0
0693.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0694.HK,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,100.0
0695.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0696.HK,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
0697.HK,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,57.14
0709.HK,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,100.0
0710.HK,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,40.0
0732.HK,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,63.64
0737.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0743.HK,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,100.0
0746.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0751.HK,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,60.0
0752.HK,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,87.5
0763.HK,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,83.33
0775.HK,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,20.0
0777.HK,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0799.HK,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,25.0
0806.HK,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,66.67
0811.HK,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
0815.HK,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
0816.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0819.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
0826.HK,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,9.0,22.22
0830.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0839.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,33.33
