sno,TP12,TP1,TP2,TP1C,CL1,BY1,,
0842.HK,2,0,0,0,3,0,5,
0853.HK,1,2,0,1,3,0,7,
0855.HK,5,1,2,2,5,0,15,
0856.HK,2,0,0,0,0,0,2,
0861.HK,2,0,2,0,3,0,7,
0863.HK,4,1,0,0,0,0,5,
0866.HK,4,0,0,0,1,0,5,
0874.HK,5,0,0,0,1,0,6,
0880.HK,3,0,0,0,0,0,3,
0882.HK,3,0,0,1,1,0,5,
0887.HK,1,0,0,0,1,0,2,
0900.HK,4,0,1,0,1,0,6,
0902.HK,8,0,0,2,7,0,17,
0909.HK,1,0,0,0,2,0,3,
0916.HK,2,1,0,2,2,0,7,
0921.HK,5,0,0,1,3,0,9,
0931.HK,0,0,0,0,1,0,1,
0934.HK,5,0,1,2,2,0,10,
0956.HK,2,0,0,0,1,0,3,
0975.HK,1,0,0,0,1,0,2,
0990.HK,2,0,0,1,3,0,6,
0991.HK,7,0,0,1,4,0,12,
0995.HK,6,0,0,1,5,0,12,
1033.HK,1,0,1,3,4,1,10,
1050.HK,2,0,2,2,2,0,8,
1051.HK,1,0,0,2,1,0,4,
1052.HK,2,0,1,3,4,0,10,
1055.HK,3,0,0,2,1,0,6,
1060.HK,1,0,0,1,2,0,4,
1061.HK,3,0,0,0,3,0,6,
1066.HK,0,0,1,2,0,1,4,
1070.HK,5,0,1,5,1,0,12,
1071.HK,7,0,0,2,1,0,10,
1072.HK,2,0,0,1,2,1,6,
1083.HK,5,0,0,1,5,0,11,
1086.HK,1,0,0,0,1,0,2,
1091.HK,1,0,2,0,0,0,3,
1099.HK,4,0,0,0,1,0,5,
1104.HK,1,0,0,1,6,0,8,
1112.HK,2,1,0,0,5,0,8,
1114.HK,2,0,2,1,7,0,12,
1115.HK,2,0,0,0,0,0,2,
1117.HK,3,0,1,1,2,0,7,
1119.HK,1,0,0,1,3,0,5,
1121.HK,2,0,0,1,4,1,8,
1126.HK,3,0,0,0,4,0,7,
1133.HK,6,0,0,1,1,0,8,
1138.HK,6,0,0,3,6,0,15,
1140.HK,1,0,1,1,3,0,6,
1157.HK,2,0,1,1,5,0,9,
1164.HK,0,0,0,1,2,0,3,
1167.HK,0,0,0,0,1,0,1,
1168.HK,1,0,1,1,3,0,6,
1184.HK,4,0,1,0,2,0,7,
1186.HK,3,0,0,0,5,0,8,
1196.HK,1,0,1,1,4,0,7,
1199.HK,6,0,0,5,2,0,13,
1205.HK,2,0,0,1,1,1,5,
1223.HK,1,0,0,0,3,1,5,
1224.HK,4,0,1,0,4,0,9,
1234.HK,0,0,0,0,3,0,3,
1250.HK,2,1,0,0,1,0,4,
1263.HK,3,0,0,1,1,0,5,
1268.HK,0,0,0,0,1,0,1,
1277.HK,0,0,0,0,1,0,1,
1280.HK,1,0,1,1,0,0,3,
1302.HK,3,1,0,0,5,1,10,
1310.HK,2,0,1,0,3,0,6,
1313.HK,2,0,1,0,3,1,7,
1316.HK,6,0,0,0,0,0,6,
1330.HK,2,0,0,0,2,0,4,
1333.HK,0,1,0,0,0,0,1,
1341.HK,0,0,0,0,3,0,3,
1345.HK,1,1,0,0,3,0,5,
1358.HK,0,0,0,0,1,0,1,
1359.HK,0,0,1,0,2,0,3,
1361.HK,3,0,0,0,1,0,4,
1368.HK,4,0,0,2,4,0,10,
1375.HK,0,0,1,2,0,0,3,
1382.HK,1,0,0,0,3,2,6,
1385.HK,2,0,0,1,2,0,5,
1405.HK,1,0,0,0,0,0,1,
1415.HK,2,0,1,1,0,0,4,
1440.HK,1,0,0,0,0,0,1,
1448.HK,2,2,0,0,5,0,9,
1456.HK,2,0,4,0,0,1,7,
1458.HK,2,0,0,0,1,0,3,
1475.HK,1,0,0,0,1,0,2,
1477.HK,0,0,0,1,3,0,4,
1478.HK,2,0,1,0,4,0,7,
1501.HK,1,0,0,0,1,0,2,
1508.HK,0,0,0,0,5,0,5,
1513.HK,2,0,0,0,3,0,5,
1515.HK,1,0,0,0,3,0,4,
1516.HK,1,0,0,0,0,0,1,
1521.HK,1,0,0,0,2,0,3,
1523.HK,3,0,0,0,0,0,3,
1551.HK,0,1,0,1,0,1,3,
1571.HK,1,0,0,0,1,0,2,
1578.HK,0,0,0,0,2,1,3,
1579.HK,2,0,0,0,2,0,4,
1600.HK,3,0,0,0,1,0,4,
1606.HK,0,0,0,1,0,1,2,
1610.HK,2,1,1,0,3,0,7,
1611.HK,0,0,0,1,1,0,2,
1618.HK,5,0,0,1,2,1,9,
1635.HK,0,0,0,0,1,0,1,
1640.HK,0,0,0,0,1,1,2,
1651.HK,2,0,0,0,5,0,7,
1660.HK,0,0,1,0,0,0,1,
1666.HK,2,0,0,0,4,0,6,
1672.HK,0,0,0,0,2,0,2,
1681.HK,2,0,0,0,0,0,2,
1686.HK,3,1,1,2,3,0,10,
1691.HK,0,1,0,0,1,1,3,
1696.HK,0,0,0,0,1,0,1,
1709.HK,2,0,1,0,2,0,5,
1717.HK,1,0,0,1,1,0,3,
1729.HK,4,0,0,0,1,0,5,
1733.HK,0,0,0,1,2,0,3,
1755.HK,0,0,0,0,1,0,1,
1766.HK,5,0,0,2,5,0,12,
1772.HK,3,0,0,0,0,0,3,
1773.HK,4,0,0,0,0,0,4,
1782.HK,1,0,0,0,1,0,2,
1789.HK,0,0,0,0,1,0,1,
1797.HK,2,0,0,1,3,0,6,
1798.HK,2,0,0,2,2,0,6,
1799.HK,1,0,0,0,1,0,2,
1800.HK,1,0,0,1,2,0,4,
1809.HK,0,0,0,2,2,0,4,
1811.HK,1,0,0,0,2,0,3,
1815.HK,0,0,1,0,2,0,3,
1836.HK,2,0,1,1,3,0,7,
1837.HK,1,0,1,0,2,0,4,
1848.HK,0,0,0,0,1,0,1,
1857.HK,1,0,0,0,0,1,2,
1860.HK,2,0,0,0,1,0,3,
1866.HK,2,0,0,0,3,1,6,
1872.HK,0,0,0,2,0,0,2,
1873.HK,2,0,0,0,2,0,4,
1877.HK,1,0,1,1,0,0,3,
1880.HK,0,0,0,0,1,0,1,
1883.HK,1,0,0,0,0,0,1,
1890.HK,1,0,0,0,1,0,2,
1896.HK,0,0,0,1,1,0,2,
1899.HK,1,0,0,1,0,0,2,
1905.HK,1,0,0,0,0,0,1,
1907.HK,1,0,0,1,1,0,3,
1910.HK,2,3,1,1,2,0,9,
1911.HK,0,0,0,0,1,0,1,
1931.HK,0,0,0,1,2,0,3,
1939.HK,0,0,0,0,1,0,1,
1948.HK,0,0,0,0,1,0,1,
1951.HK,1,0,0,0,1,0,2,
1952.HK,1,0,1,0,1,0,3,
1958.HK,2,0,0,0,2,0,4,
1963.HK,2,0,0,0,3,0,5,
1969.HK,0,0,0,0,2,0,2,
1970.HK,0,0,0,1,0,0,1,
1979.HK,0,0,1,0,1,0,2,
1982.HK,0,0,0,0,1,0,1,
1995.HK,0,0,0,0,1,0,1,
1999.HK,1,0,0,1,2,0,4,
2001.HK,0,0,0,2,0,0,2,
2005.HK,3,0,1,0,2,1,7,
2009.HK,1,0,0,0,2,0,3,
2013.HK,0,0,0,0,3,0,3,
2016.HK,0,0,0,0,3,0,3,
2025.HK,1,0,0,0,0,0,1,
2038.HK,2,0,1,0,4,0,7,
2039.HK,1,0,0,0,4,0,5,
2066.HK,4,0,0,1,2,0,7,
2111.HK,1,0,0,0,0,0,1,
2121.HK,0,0,0,1,1,0,2,
2128.HK,3,0,0,0,5,0,8,
2142.HK,2,0,0,1,0,0,3,
2150.HK,0,0,0,0,2,0,2,
2155.HK,2,0,0,0,1,0,3,
2157.HK,1,0,1,0,0,0,2,
2158.HK,0,0,1,0,1,0,2,
2160.HK,1,0,0,0,1,0,2,
2161.HK,1,0,0,0,0,0,1,
2162.HK,1,0,0,0,0,0,1,
2171.HK,0,0,0,0,1,0,1,
2172.HK,0,1,0,0,2,0,3,
2179.HK,0,0,0,1,1,0,2,
