sno,returns,final,peak,trades_counts,win_rates,RR,SQN,sharpe_ratios,sortino_ratios,calmar_ratios,avg_trade,best_trade,worst_trade,max_tradeday,avg_tradeday,max_drawdowns,avg_drawdowns,max_drawdownday,avg_drawdownday,buy_hold_return,ann_return,volatility
P_0008.HK,-10.06816276550293,899318.3723449707,1025801.0730743408,1,0.0,0.0,,-0.27496858163429777,-0.3432736963914198,-0.038376704261713,-10.47597172731124,-10.475971727311242,-10.475971727311242,60 days,60 days,-12.330139249152827,-7.647332903537595,7822 days,3922 days,-1.7270240895092615,-0.47319010747047807,1.7208879089313942
P_0020.HK,-9.07999875545503,909200.0124454497,1035084.013366699,2,0.0,0.0,-3.171276773302844,-0.6456774716061792,-0.8576663686294651,-0.19261062069976728,-11.960163201221597,-10.868530188586602,-13.038426495654972,52 days,35 days,-12.161718207955008,-12.161718207955008,1269 days,1269 days,-40.92009710390131,-2.3424760928098753,3.6279353017889275
P_0027.HK,-1.0372002387046815,989627.9976129532,1007803.9923667908,1,0.0,0.0,,-0.12681178864927853,-0.19158988764111726,-0.022984197510043557,-10.583675699162454,-10.583675699162459,-10.583675699162459,84 days,84 days,-1.8035247817536404,-0.4439986960414218,8381 days,937 days,6741.26965084734,-0.04145256979808387,0.326882620611311
P_0083.HK,-11.73000343322754,882699.9656677246,1016236.3464355469,1,0.0,0.0,,-0.22408274393279448,-0.2658306336992282,-0.03717406283396855,-12.058882893990697,-12.058882893990694,-12.058882893990694,22 days,22 days,-13.14028781161013,-10.18070534673422,7973 days,3992 days,213.2203687174546,-0.488477884765226,2.1798996040129146
P_0135.HK,-2.1352010715007785,978647.9892849922,1010859.9945187569,3,33.33333333333333,0.364414079930165,-0.7410442069907357,-0.10524023833698473,-0.15094194299924585,-0.02658733490970923,-6.542971051684621,10.105263707160079,-16.24127373802301,167 days,107 days,-3.1865941286063015,-1.3977029909734338,8708 days,1543 days,744.7916497864445,-0.08472304531856878,0.8050442174720392
P_0136.HK,-14.280408673286459,857195.9132671354,1035803.9122581481,5,20.0,0.7154451967970855,-0.7842306926957108,-0.2108281125088572,-0.3146999410423873,-0.046968877783597755,-4.777107868276664,37.432675469454765,-17.688191484288986,99 days,43 days,-17.243418071440843,-7.956915323095824,2013 days,462 days,-98.835071753737,-0.8099039959689858,3.841537005341072
P_0175.HK,20.732002437114716,1207320.0243711472,1208236.0243558884,4,75.0,7.16693127104847,1.8665999948123704,0.3225190805587013,0.7907984305275196,0.11454540156644137,15.868720107365665,28.772308396277356,-11.131185271679572,92 days,43 days,-8.317520542891133,-2.04162216137667,5145 days,826 days,3737.2092384980015,0.9527337306225903,2.9540383439397297
P_0220.HK,12.606221389770509,1126062.213897705,1127205.4870605469,1,100.0,,,0.4330879898503167,1.5890946617848978,0.40786963901740825,28.421579841819742,28.42157984181975,28.42157984181975,21 days,21 days,-1.6465486863843415,-0.7679853588629288,6150 days,2055 days,73.9117778761169,0.6715772183401691,1.5506715357594625
P_0241.HK,-8.330597532391549,916694.0246760845,1052178.0399501324,3,33.33333333333333,0.821411047576351,-0.5362190357399222,-0.24985369285537415,-0.27048779465517114,-0.03172938848388853,-2.7729451270688044,21.178378957734935,-14.690066898162113,79 days,32 days,-12.87652945888027,-2.4546190256606497,5776 days,1229 days,567.39127772855,-0.408564405525047,1.6352145964139955
P_0257.HK,-15.947263185381876,840527.3681461812,1099015.316659212,6,16.666666666666664,0.5620155667338947,-0.8291065486805517,-0.19179198916016454,-0.2799086380289082,-0.02898887343103842,-5.185795022772277,31.379911403507162,-13.263022364398957,105 days,60 days,-23.519958693458687,-6.1149650904956925,3643 days,1224 days,601.9159460514442,-0.6818171056679256,3.5549821900983756
