sno,returns,sharpe_ratios,max_drawdowns,trades_counts,win_rates
P_0017.HK,48.94439199447632,0.5219076207127509,-25.234352684536653,9,66.66666666666666
P_0028.HK,-16.44559063911438,-0.663653559305111,-26.871905716774837,5,40.0
P_0034.HK,12.199196929931642,0.9049640424592839,-3.1306169333054745,3,33.33333333333333
P_0035.HK,-5.850804762840271,-0.6175577398392027,-8.417293247301306,9,55.55555555555556
P_0051.HK,6.835193138122558,0.6675055595278354,-3.517711906823484,1,100.0
P_0069.HK,3.9936053466796877,0.36014878994614447,-3.4220109462051895,1,100.0
P_0081.HK,-2.3312063932418936,-0.07471151381858442,-16.6250137209352,8,62.5
P_0085.HK,-22.858798666000364,-1.0613704028413047,-24.004399905204778,12,33.33333333333333
P_0086.HK,32.61759791374204,0.7640001244570116,-9.494269398142652,17,76.47058823529412
P_0088.HK,5.085198097229004,0.1842656707833895,-16.60685048911438,7,71.42857142857143
P_0107.HK,44.5860024356842,0.7535368869599297,-11.391528426913922,10,90.0
P_0108.HK,21.680800914764404,0.7370365169449583,-13.087378731628707,11,63.63636363636363
P_0113.HK,-1.7088055324554325,-0.06405051441581201,-16.00035436570334,7,42.857142857142854
P_0119.HK,-2.4867935085296633,-0.13954942397871536,-9.791491790131257,5,20.0
P_0123.HK,15.776396217346193,0.32171428225354415,-20.989028423271904,8,62.5
P_0127.HK,-5.943202195167541,-0.33764915203563184,-11.28625259149213,7,28.57142857142857
P_0142.HK,18.838002700805664,0.3334852739161201,-14.017347743792941,11,81.81818181818183
P_0147.HK,-0.6773204372823238,-0.42593849683608587,-1.1825541042035481,5,40.0
P_0165.HK,-19.05200629234314,-0.8267321754122677,-20.660373742566218,2,0.0
P_0173.HK,0.6103997182846069,0.02570840809949228,-16.99979378827837,13,61.53846153846154
P_0182.HK,-4.222201453447342,-1.048304053469138,-4.388183383725119,3,0.0
P_0200.HK,28.976404972076413,0.5982076663104636,-12.712501256225062,2,100.0
P_0215.HK,0.3596006226539612,0.0466994456246524,-5.404232888023641,3,33.33333333333333
P_0218.HK,8.467594395875931,0.1886099165385029,-21.044432358049438,5,60.0
P_0230.HK,0.07980011820793152,0.019141738491761998,-2.739375922656262,9,66.66666666666666
P_0242.HK,0.16160081148147584,0.022980438958288756,-3.367607135704631,4,50.0
P_0245.HK,-9.036402523517609,-0.769135068601057,-10.06738894624013,5,20.0
P_0258.HK,18.25640772342682,0.6160553327858477,-6.709600116379932,7,57.14285714285714
P_0259.HK,-9.06200687408446,-0.1380156290385339,-34.11058434784079,5,40.0
P_0272.HK,-1.2576000475883484,-0.2534084791588367,-3.1443444521182307,1,0.0
P_0290.HK,12.193512700498104,0.5216005374603143,-11.827548369553064,11,72.72727272727273
P_0297.HK,4.864799432754516,0.30904040928918103,-4.195963157823912,7,71.42857142857143
P_0308.HK,8.382000951766967,0.224865202797308,-7.767848506473285,5,40.0
P_0314.HK,6.0283981132507325,0.13251737762611343,-24.748467868120105,3,66.66666666666666
P_0315.HK,9.218796758651733,0.26022650411444403,-13.202834680916952,12,58.333333333333336
P_0323.HK,8.136793990135192,0.21493777558304258,-14.084291299342922,4,75.0
