股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00050.HK,香港小輪（集團）,090202,4.820,0.000,0.000%,1.12萬,5.41萬,10.48,0.24,5.19%,17.17億,00050.HK,15.75,8.27,2.61%,2.73%,37.50%,50.83%,47.17%,0.14%,2023/12,00050.HK,3.75億,33.000%,1.74億,46.536%,1.90億,50.825%,0.530,-85.479%,2023/12,0050.HK,1717000000.0000002,S
00052.HK,大快活集團,100402,5.130,-0.030,-0.581%,2.00萬,10.28萬,18.70,1.02,4.29%,6.65億,00052.HK,0.93,0.87,2.25%,7.67%,8.63%,1.61%,104.86%,157.81%,2024/03,00052.HK,31.37億,3.000%,9.85千萬,3.140%,5.07千萬,1.615%,0.391,12.875%,2024/03,0052.HK,665000000.0,S
00055.HK,中星集團控股,100102,0.182,0.000,0.000%,0.00,0.00,無盈利,0.07,0.00%,4.61千萬,00055.HK,2.59,1.53,-7.67%,-11.28%,16.10%,-14.94%,N/A,20.22%,2023/12,00055.HK,5.49億,22.000%,-7.47千萬,-13.617%,-8.20千萬,-14.938%,-0.324,"-4,101.299%",2023/12,0055.HK,46100000.0,S
00057.HK,震雄集團,060203,1.800,+0.030,+1.695%,19.80萬,35.48萬,7.35,0.37,6.56%,11.35億,00057.HK,3.08,2.35,2.43%,3.30%,23.74%,5.02%,50.00%,0.57%,2024/03,00057.HK,20.10億,-13.000%,1.25億,6.230%,1.01億,5.019%,0.160,-22.705%,2024/03,0057.HK,1135000000.0,S
00058.HK,新威國際,080201,0.152,0.000,0.000%,4.20萬,6.32千,無盈利,0.53,0.00%,3.28千萬,00058.HK,1.03,0.98,-13.64%,-49.09%,15.23%,-18.31%,N/A,22.11%,2023/12,00058.HK,2.47億,-45.000%,-6.39千萬,-25.914%,-4.51千萬,-18.313%,-0.251,-20.749%,2023/12,0058.HK,32799999.999999996,S
00059.HK,天譽置業,090204,0.010,0.000,0.000%,0.00,0.00,無盈利,N/A,0.00%,8.45千萬,00059.HK,0.71,0.21,-16.78%,120.78%,-5.13%,-213.76%,N/A,-444.80%,2023/12,00059.HK,17.89億,-23.000%,-25.81億,-144.212%,-38.25億,-213.764%,-0.453,3.062%,2023/12,0059.HK,84500000.0,S
00060.HK,香港食品投資,020203,0.445,0.000,0.000%,0.00,0.00,無盈利,0.22,0.00%,1.14億,00060.HK,2.46,1.76,-3.16%,-3.60%,21.39%,-9.13%,N/A,8.14%,2024/03,00060.HK,2.12億,-8.000%,-2.77千萬,-13.077%,-1.94千萬,-9.135%,-0.075,N/A,2024/03,0060.HK,113999999.99999999,S
00061.HK,綠領控股,030101,0.068,-0.002,-2.857%,1.60百萬,10.98萬,0.02,N/A,0.00%,3.58千萬,00061.HK,0.09,0.08,-34.53%,41.13%,1.50%,-123.23%,N/A,-104.80%,2023/12,00061.HK,14.63億,-36.000%,-20.23億,-138.244%,-18.03億,-123.235%,-3.430,-679.545%,2023/12,0061.HK,35800000.0,S
00063.HK,中亞烯谷集團,090202,0.061,-0.002,-3.175%,6.21萬,3.86千,122.00,0.79,0.00%,3.88億,00063.HK,0.64,0.64,0.42%,1.88%,100.00%,6.56%,N/A,127.58%,2023/12,00063.HK,4.61千萬,12.000%,1.07千萬,27.977%,2.51百萬,6.557%,0.001,N/A,2023/12,0063.HK,388000000.0,S
00064.HK,結好控股,040202,2.980,0.000,0.000%,2.07萬,6.15萬,35.48,0.22,1.68%,18.42億,00064.HK,19.07,19.07,0.50%,0.62%,100.00%,8.74%,270.27%,N/A,2024/03,00064.HK,4.29億,-2.000%,8.64千萬,21.076%,3.58千萬,8.735%,0.004,-80.526%,2024/03,0064.HK,1842000000.0000002,S
00065.HK,弘海高新資源,030101,0.405,+0.005,+1.250%,4.06百萬,1.65百萬,無盈利,0.58,0.00%,9.94千萬,00065.HK,1.56,1.51,-7.73%,-17.12%,34.69%,-12.63%,N/A,0.06%,2023/12,00065.HK,1.88億,-1.000%,-3.20千萬,-17.030%,-2.37千萬,-12.627%,-0.146,N/A,2023/12,0065.HK,99400000.0,S
00070.HK,金粵控股,010101,0.068,-0.002,-2.857%,40.00萬,2.72萬,無盈利,0.14,0.00%,1.32億,00070.HK,1.11,1.11,-3.35%,-4.75%,82.17%,-39.83%,N/A,14.42%,2024/06,00070.HK,1.27億,28.000%,-3.19千萬,-25.147%,-5.05千萬,-39.830%,-0.026,-364.286%,2024/06,0070.HK,132000000.0,S
00072.HK,超媒體控股,100203,0.248,0.000,0.000%,5.00萬,1.23萬,無盈利,0.50,0.00%,1.09億,00072.HK,1.08,0.80,-5.14%,-15.83%,37.60%,-9.13%,N/A,102.65%,2023/12,00072.HK,4.18億,N/A,-2.21千萬,-5.280%,-3.82千萬,-9.135%,-0.088,51.743%,2023/12,0072.HK,109000000.00000001,S
00073.HK,亞洲果業,020702,1.800,0.000,0.000%,0.00,0.00,無盈利,0.22,0.00%,2.68千萬,00073.HK,5.05,4.58,-16.00%,-18.69%,100.00%,-15.19%,N/A,12.38%,2024/06,00073.HK,1.86億,50.000%,-2.72千萬,-15.090%,-2.74千萬,-15.185%,-1.988,63.146%,2024/06,0073.HK,26800000.0,S
00075.HK,渝太地產,090204,0.155,+0.002,+1.307%,6.65萬,1.02萬,無盈利,0.12,0.00%,1.24億,00075.HK,1.09,0.21,-0.19%,-2.92%,14.77%,-0.41%,N/A,195.30%,2023/12,00075.HK,72.74億,168.000%,-2.42千萬,-0.332%,-3.01千萬,-0.414%,-0.038,93.613%,2023/12,0075.HK,124000000.0,S
00076.HK,誼礫控股,060101,0.249,-0.006,-2.353%,37.60萬,9.39萬,0.29,0.03,0.00%,1.08億,00076.HK,19.60,2.34,0.44%,0.47%,8.82%,1.72%,N/A,0.03%,2023/12,00076.HK,8.25億,5.000%,1.56千萬,1.893%,1.42千萬,1.717%,0.039,212.620%,2023/12,0076.HK,108000000.0,S
00077.HK,進智公共交通,100509,0.435,+0.005,+1.163%,50.80萬,22.11萬,14.08,3.23,9.20%,1.18億,00077.HK,0.63,0.63,-3.38%,-30.65%,17.95%,-3.04%,-90.91%,687.62%,2024/03,00077.HK,3.94億,5.000%,3.73千萬,9.477%,-1.20千萬,-3.036%,-0.044,N/A,2024/03,0077.HK,118000000.0,S
00078.HK,富豪國際,100401,0.600,-0.010,-1.639%,27.20萬,16.32萬,無盈利,0.08,0.00%,5.39億,00078.HK,1.43,1.13,-6.69%,-20.74%,36.40%,-106.38%,N/A,176.06%,2023/12,00078.HK,17.92億,-2.000%,-8.00億,-44.655%,-19.07億,-106.378%,-2.120,-300.000%,2023/12,0078.HK,539000000.0,S
00079.HK,世紀建業,100401,0.100,0.000,0.000%,0.00,0.00,無盈利,0.15,0.00%,3.26千萬,00079.HK,0.47,0.47,-6.88%,-11.39%,40.94%,-54.18%,N/A,55.78%,2023/12,00079.HK,5.30千萬,45.000%,-3.22千萬,-60.767%,-2.87千萬,-54.181%,-0.088,-5.383%,2023/12,0079.HK,32599999.999999996,S
00080.HK,中國新經濟投資,040204,0.420,-0.015,-3.448%,1.44千萬,6.15百萬,無盈利,10.83,0.00%,8.31億,00080.HK,17.98,17.98,-55.06%,-58.37%,100.00%,"-41,504.87%",N/A,1.62%,2023/12,00080.HK,12.63萬,-95.000%,-5.23千萬,"-41,360.627%",-5.24千萬,"-41,504.874%",-0.040,N/A,2023/12,0080.HK,831000000.0,S
00082.HK,瘋狂體育,100202,0.084,-0.001,-1.176%,1.34百萬,11.05萬,無盈利,0.55,0.00%,3.80億,00082.HK,0.93,0.93,-2.16%,-2.99%,36.59%,-4.74%,N/A,3.28%,2023/12,00082.HK,4.90億,-30.000%,-7.82百萬,-2.627%,-2.32千萬,-4.737%,-0.005,N/A,2023/12,0082.HK,380000000.0,S
00084.HK,寶光實業,100307,0.068,+0.002,+3.030%,5.24萬,3.46千,無盈利,0.08,0.00%,7.05千萬,00084.HK,1.06,0.54,33.12%,52.19%,50.25%,61.64%,N/A,38.30%,2024/03,00084.HK,7.68億,-4.000%,4.82億,62.758%,4.73億,61.643%,0.452,832.165%,2024/03,0084.HK,70500000.0,S
00088.HK,大昌集團,090201,3.180,-0.010,-0.313%,8.40萬,26.76萬,31.27,0.31,7.55%,19.64億,00088.HK,33.35,6.84,1.12%,1.16%,18.90%,61.54%,198.35%,0.61%,2024/03,00088.HK,1.22億,83.000%,2.06千萬,16.927%,7.49千萬,61.545%,0.121,N/A,2024/03,0088.HK,1964000000.0,S
00089.HK,大生地產,090202,2.300,0.000,0.000%,0.00,0.00,無盈利,0.08,3.91%,6.62億,00089.HK,0.16,0.09,-1.56%,-2.15%,62.34%,-38.12%,-18.46%,29.93%,2023/12,00089.HK,4.87億,10.000%,-6.70千萬,-13.751%,-1.86億,-38.117%,-0.650,N/A,2023/12,0089.HK,662000000.0,S
00090.HK,普星能量,120105,1.440,-0.010,-0.690%,0.00,0.00,10.37,0.71,0.97%,6.60億,00090.HK,0.47,0.36,4.10%,8.68%,100.00%,13.80%,N/A,87.67%,2023/12,00090.HK,5.63億,-33.000%,1.54億,27.414%,7.77千萬,13.796%,0.169,32.429%,2023/12,0090.HK,660000000.0,S
00092.HK,冠軍科技集團,070202,0.175,-0.004,-2.235%,1.11百萬,19.03萬,無盈利,1.49,0.00%,1.72億,00092.HK,1.39,1.35,-4.73%,-12.87%,5.46%,-5.95%,N/A,1.96%,2024/06,00092.HK,2.09億,724.000%,-4.49千萬,-21.529%,-1.24千萬,-5.954%,-0.018,-2.247%,2024/06,0092.HK,172000000.0,S
00093.HK,零在科技金融,040201,0.540,0.000,0.000%,0.00,0.00,53.47,1.32,0.00%,14.41億,00093.HK,2.70,2.40,0.96%,1.12%,100.00%,6.17%,N/A,0.14%,2023/12,00093.HK,1.98億,20.000%,2.72千萬,13.814%,1.21千萬,6.173%,0.005,-21.053%,2023/12,0093.HK,1441000000.0,S
00094.HK,綠心集團,080501,0.058,-0.001,-1.695%,8.00萬,4.48千,無盈利,0.20,0.00%,1.61億,00094.HK,1.80,1.64,-11.64%,-12.18%,-99.41%,-102.30%,N/A,53.42%,2023/12,00094.HK,9.10千萬,-44.000%,-1.84億,-202.209%,-9.31千萬,-102.300%,-0.050,-35.135%,2023/12,0094.HK,161000000.0,S
00095.HK,綠景中國地產,090204,0.217,-0.003,-1.364%,2.34百萬,50.82萬,無盈利,0.06,0.00%,13.81億,00095.HK,1.52,0.21,-2.02%,-9.17%,25.77%,-34.76%,N/A,153.38%,2023/12,00095.HK,67.06億,153.000%,-20.21億,-30.144%,-23.31億,-34.760%,-0.457,-183.034%,2023/12,0095.HK,1381000000.0,S
00096.HK,YUSEI,060203,0.570,0.000,0.000%,0.00,0.00,3.80,0.36,2.49%,3.63億,00096.HK,0.94,0.62,3.06%,8.92%,12.35%,4.07%,10.48%,77.99%,2023/12,00096.HK,21.29億,6.000%,8.50千萬,3.994%,8.67千萬,4.072%,0.136,38.498%,2023/12,0096.HK,363000000.0,S
00097.HK,恆基發展,100304,0.230,+0.007,+3.139%,2.16百萬,49.42萬,無盈利,0.67,0.00%,7.01億,00097.HK,0.38,0.20,-2.84%,-6.14%,4.45%,-4.64%,N/A,78.77%,2023/12,00097.HK,15.51億,-13.000%,-5.10千萬,-3.288%,-7.20千萬,-4.642%,-0.024,N/A,2023/12,0097.HK,701000000.0,S
00099.HK,王氏國際,070304,1.300,0.000,0.000%,0.00,0.00,無盈利,0.18,4.42%,6.22億,00099.HK,1.57,1.25,2.09%,3.41%,100.00%,4.79%,18.75%,40.38%,2023/12,00099.HK,32.00億,-8.000%,2.15億,6.752%,1.53億,4.794%,0.320,39.130%,2023/12,0099.HK,622000000.0,S
00104.HK,ASIA,100307,0.229,0.000,0.000%,0.00,0.00,7.00,0.39,11.70%,1.71億,00104.HK,1.26,0.88,3.39%,5.89%,33.22%,3.71%,99.15%,46.26%,2024/03,00104.HK,7.05億,N/A,6.51千萬,9.228%,2.62千萬,3.714%,0.035,-39.897%,2024/03,0104.HK,171000000.0,S
00105.HK,凱聯國際酒店,090202,5.220,+0.020,+0.385%,0.00,0.00,無盈利,0.26,6.71%,18.79億,00105.HK,4.54,4.54,4.53%,4.80%,67.72%,128.96%,39.05%,2.56%,2024/03,00105.HK,2.92億,-2.000%,4.13億,141.524%,3.77億,128.964%,1.050,N/A,2024/03,0105.HK,1879000000.0,S
00106.HK,朗詩綠色管理,090204,0.019,0.000,0.000%,0.00,0.00,無盈利,N/A,0.00%,8.97千萬,00106.HK,1.26,0.41,-4.45%,"7,806.23%",12.29%,-9.52%,N/A,"-66,340.96%",2023/12,00106.HK,99.09億,-37.000%,-7.33億,-7.394%,-9.44億,-9.522%,-0.207,67.723%,2023/12,0106.HK,89700000.0,S
00110.HK,中國長遠,070306,0.180,-0.008,-4.255%,4.00萬,7.24千,無盈利,N/A,0.00%,4.56千萬,00110.HK,0.61,0.58,-32.43%,-44.99%,0.46%,-15.47%,N/A,5.70%,2023/12,00110.HK,8.15千萬,1.000%,-1.47千萬,-18.046%,-1.26千萬,-15.472%,-0.064,18.391%,2023/12,0110.HK,45599999.99999999,S
00111.HK,信達國際控股,040203,0.395,-0.010,-2.469%,15.40萬,6.18萬,24.53,0.27,0.00%,2.53億,00111.HK,1.61,1.61,-0.78%,-1.37%,100.00%,-10.18%,N/A,54.61%,2023/12,00111.HK,1.50億,-9.000%,-2.45千萬,-19.434%,-1.28千萬,-10.183%,-0.020,42.693%,2023/12,0111.HK,252999999.99999997,S
00114.HK,興利集團,020502,0.570,0.000,0.000%,0.00,0.00,10.48,0.60,10.53%,3.45億,00114.HK,2.99,2.31,-1.77%,-2.48%,22.53%,-2.02%,-252.10%,2.03%,2024/03,00114.HK,7.11億,-43.000%,-1.62千萬,-2.283%,-1.44千萬,-2.022%,-0.024,N/A,2024/03,0114.HK,345000000.0,S
00115.HK,鈞濠集團,090204,3.200,+0.030,+0.946%,0.00,0.00,無盈利,0.16,0.00%,6.63千萬,00115.HK,0.98,0.13,-1.79%,-9.28%,22.65%,-17.78%,N/A,145.04%,2023/12,00115.HK,2.65億,89.000%,3.95千萬,14.924%,-4.70千萬,-17.778%,-3.840,88.022%,2023/12,0115.HK,66300000.0,S
00117.HK,天利控股集團,060101,0.610,+0.010,+1.667%,10.00萬,5.72萬,無盈利,0.83,0.00%,4.54億,00117.HK,1.04,0.84,-11.03%,-33.26%,15.96%,-45.52%,N/A,162.53%,2023/12,00117.HK,5.35億,31.000%,-1.77億,-32.997%,-2.44億,-45.521%,-0.327,-236.713%,2023/12,0117.HK,454000000.0,S
00118.HK,大同機械,060203,0.238,0.000,0.000%,0.00,0.00,25.87,0.17,0.00%,2.05億,00118.HK,1.83,1.41,-1.78%,-3.44%,16.98%,-2.01%,N/A,19.15%,2023/12,00118.HK,21.77億,-6.000%,4.74百萬,0.218%,-4.38千萬,-2.012%,-0.051,N/A,2023/12,0118.HK,204999999.99999997,S
00120.HK,COSMOPOL,090204,0.104,-0.001,-0.952%,8.28萬,8.43千,無盈利,0.19,0.00%,1.39億,00120.HK,1.80,0.12,-9.34%,-31.38%,14.10%,-481.63%,N/A,115.23%,2023/12,00120.HK,7.73千萬,-92.000%,-2.48億,-320.699%,-3.72億,-481.630%,-0.324,N/A,2023/12,0120.HK,139000000.0,S
00122.HK,鱷魚恤,090202,1.570,-0.060,-3.681%,1.73萬,2.77萬,無盈利,0.08,0.00%,1.12億,00122.HK,1.42,1.37,-4.64%,-7.34%,83.83%,-125.22%,N/A,51.81%,2023/07,00122.HK,8.69千萬,-15.000%,-1.08億,-124.267%,-1.09億,-125.220%,-1.662,-14.779%,2023/07,0122.HK,112000000.00000001,S
00124.HK,粵海置地,090204,0.265,+0.005,+1.923%,89.94萬,23.80萬,無盈利,0.13,0.00%,4.54億,00124.HK,1.27,0.21,-5.00%,-48.52%,9.58%,-63.05%,-2.10%,473.90%,2023/12,00124.HK,38.77億,181.000%,-22.60億,-58.276%,-24.45億,-63.055%,-1.429,N/A,2023/12,0124.HK,454000000.0,S
