sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0010.HK,2,0,0,1,5,0,8,25.00%,
0013.HK,0,0,0,1,2,0,3,0.00%,
0014.HK,1,0,0,0,5,1,7,14.29%,
0017.HK,1,0,0,1,10,1,13,7.69%,
0026.HK,2,0,0,0,1,0,3,66.67%,
0028.HK,0,0,1,1,0,0,2,50.00%,
0029.HK,0,0,0,1,0,1,2,0.00%,
0032.HK,1,1,1,0,3,0,6,50.00%,
0034.HK,2,1,0,0,2,0,5,60.00%,
0035.HK,0,0,0,3,1,0,4,0.00%,
0038.HK,1,0,2,0,3,0,6,50.00%,
0041.HK,0,0,3,0,4,0,7,42.86%,
0045.HK,3,0,1,1,3,0,8,50.00%,
0051.HK,1,0,0,1,2,0,4,25.00%,
0053.HK,1,0,2,1,1,0,5,60.00%,
0062.HK,0,0,1,2,1,1,5,20.00%,
0069.HK,0,2,0,1,5,0,8,25.00%,
0071.HK,1,0,1,1,0,0,3,66.67%,
0081.HK,3,0,0,0,1,1,5,60.00%,
0085.HK,2,0,0,0,0,0,2,100.00%,
0086.HK,0,0,0,0,5,1,6,0.00%,
0098.HK,1,0,0,0,3,0,4,25.00%,
0103.HK,2,0,0,0,2,0,4,50.00%,
0107.HK,4,0,1,2,0,1,8,62.50%,
0113.HK,3,0,0,0,2,0,5,60.00%,
0116.HK,1,0,0,1,4,0,6,16.67%,
0119.HK,2,2,3,0,1,0,8,87.50%,
0123.HK,3,0,0,0,2,0,5,60.00%,
0133.HK,2,0,0,0,0,0,2,100.00%,
0142.HK,3,0,0,0,0,0,3,100.00%,
0147.HK,0,1,0,0,0,0,1,100.00%,
0152.HK,1,0,0,0,0,0,1,100.00%,
0165.HK,2,0,0,1,2,0,5,40.00%,
0169.HK,1,0,1,2,0,0,4,50.00%,
0173.HK,0,0,1,2,0,0,3,33.33%,
0177.HK,3,1,0,1,5,0,10,40.00%,
0182.HK,0,0,0,1,0,0,1,0.00%,
0189.HK,2,0,0,2,1,0,5,40.00%,
0200.HK,3,0,0,0,3,0,6,50.00%,
0215.HK,2,0,0,0,1,0,3,66.67%,
0218.HK,1,0,0,0,2,0,3,33.33%,
0230.HK,0,0,0,0,1,0,1,0.00%,
0242.HK,1,1,0,0,3,0,5,40.00%,
0245.HK,0,0,0,0,3,0,3,0.00%,
0257.HK,1,0,1,1,3,0,6,33.33%,
0258.HK,0,1,1,0,3,0,5,40.00%,
0272.HK,1,1,0,0,2,0,4,50.00%,
0289.HK,1,0,0,0,2,0,3,33.33%,
0290.HK,0,0,0,0,3,0,3,0.00%,
0297.HK,1,0,0,0,2,0,3,33.33%,
0303.HK,3,0,1,2,2,0,8,50.00%,
0308.HK,2,0,0,0,4,1,7,28.57%,
0315.HK,1,0,1,0,4,0,6,33.33%,
0317.HK,2,2,0,0,0,0,4,100.00%,
0323.HK,1,0,0,1,2,0,4,25.00%,
0326.HK,1,0,0,0,3,0,4,25.00%,
0327.HK,0,0,0,2,3,0,5,0.00%,
0336.HK,3,0,0,0,4,0,7,42.86%,
0338.HK,1,0,0,0,3,0,4,25.00%,
0340.HK,1,0,0,0,2,0,3,33.33%,
0341.HK,3,0,1,1,4,0,9,44.44%,
0345.HK,3,0,0,0,4,0,7,42.86%,
0347.HK,0,0,0,1,6,0,7,0.00%,
0354.HK,1,0,0,1,3,0,5,20.00%,
0357.HK,3,3,0,0,1,0,7,85.71%,
0363.HK,1,0,0,0,3,0,4,25.00%,
