index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,DT,XGB,LGBM,LR,MLP,RF,SVM,VOTING,SNO
2026-02-25,1137.HK,1.4199999570846558,1.4600000381469729,1.4199999570846558,1.4500000476837158,1.4500000476837158,276000,0.0,0.0,-0.0137931720538575,1.4261762663630355,1.41710601137876,1.4179294663018265,1.440410657568029,1.5338157838459,False,False,False,True,0.0400000810623171,0.0312500223517418,0.0468750335276127,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,33.085879709416,15.555587933375314,8.888877115136255,54.54547917548317,1.417988050592829,1.4919880992302192,1.3439880019554389,10.437330357819649,1.3784064275594925,0.3916084769083723,1,1.405199987888336,1.419999986886978,True,0.6944437545758981,5.0724675865189495,1.4800000190734863,False,-2.0270250677801456,-3.3%,-3.2878898639815857,False,1,False,False,False,False,False,True,True,54.5,True,False,False,False,True,False,True,False,False,True,True,False,False,False,1137.HK
2026-02-26,1137.HK,1.4199999570846558,1.4500000476837158,1.4199999570846558,1.4500000476837158,1.4500000476837158,241000,0.0,0.0,-0.0137931720538575,1.4305078629667956,1.4199663623617995,1.4191871361599395,1.440600546481211,1.533147929374488,False,False,False,True,0.03000009059906,0.0358823818318984,0.0538235727478476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,33.264458029759176,15.909119233593191,6.818170734680932,57.14288147129296,1.4210368122205326,1.4950368727788517,1.3470367516622137,10.414939278411168,1.2870348657314248,0.4979480985410801,1,1.405199987888336,1.4234999895095826,True,0.0,3.571433741219278,1.4800000190734863,False,-2.0270250677801456,-5.8%,-5.824649690535888,False,1,False,False,False,False,False,True,True,57.1,True,False,False,False,True,False,True,False,False,True,True,False,False,False,1137.HK
2026-02-27,1137.HK,1.440000057220459,1.4500000476837158,1.4199999570846558,1.4500000476837158,1.4500000476837158,217000,0.0,0.0,-0.0137931720538575,1.43405189655169,1.4225779871724011,1.4203954856314602,1.4407866752178944,1.5324853964526493,False,False,False,True,0.03000009059906,0.0311765039668363,0.0467647559502545,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,33.44303635010236,15.909114923336343,6.81816888743429,57.14288147129296,1.4237952155979785,1.4897952837856925,1.3577951474102647,9.271005754854212,1.2870348657314248,0.5938736741106965,1,1.4057999897003173,1.4234999895095826,True,2.112682500403171,5.0724675865189495,1.4800000190734863,False,-2.0270250677801456,-8.1%,-8.067290477700062,False,1,False,False,False,False,False,True,True,57.1,True,False,False,False,True,False,True,False,False,True,True,False,False,False,1137.HK
2026-03-02,1137.HK,1.409999966621399,1.440000057220459,1.409999966621399,1.4299999475479126,1.4299999475479126,413000,0.0,0.0,0.0,1.433315178551003,1.4232233750311414,1.4207721311968111,1.440573076650172,1.5316687793299024,False,False,False,True,0.03000009059906,0.0294117997674381,0.0441176996511571,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,33.01014339220281,15.217411585678764,8.695634146063343,57.14284903338312,1.4243861424503532,1.4883862125454157,1.360386072355291,8.98633708763324,0.2909503249280417,0.533205580253292,1,1.4061999893188477,1.4239999890327453,True,1.4184383971608912,4.379557851876454,1.4800000190734863,False,-3.3783831676485327,-9.0%,-8.980901527589014,False,1,False,False,False,False,False,True,True,57.1,True,False,False,False,True,False,True,False,False,True,True,False,False,False,1137.HK
2026-02-25,0818.HK,0.4749999940395355,0.4799999892711639,0.4749999940395355,0.4799999892711639,0.4799999892711639,1803000,0.0,0.0,-0.0208333139307791,0.4935576194320435,0.4989600159210467,0.5034543690455916,0.5055714242235482,0.4856385635453227,False,False,False,False,0.0049999952316283,0.0120588120292214,0.0180882180438322,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,10.011449369522223,16.21621360388493,18.91893198057534,41.666656318630736,0.4985066161808332,0.5270065919813475,0.470006640380319,11.434141443842297,1.730735159910182,0.4030277299147124,1,0.4976999974250793,0.5019999951124191,False,-2.0408204226431472,-2.0408204226431472,0.5299999713897705,False,-9.43395939956303,-11.1%,-11.140919243614343,False,1,False,False,False,False,False,False,False,41.7,True,False,False,False,False,False,True,True,True,False,True,False,False,False,818.HK
2026-02-26,0818.HK,0.4799999892711639,0.4799999892711639,0.4699999988079071,0.4749999940395355,0.4749999940395355,1332000,0.0,0.0,-0.0105263058828843,0.4901835057243148,0.496876535757437,0.5023385112022168,0.5049660493684192,0.4855537940671889,False,False,False,False,0.0099999904632567,0.0115624889731407,0.017343733459711,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,11.031854817561642,16.666663907190195,22.222235099779112,39.99999046325,0.4962678902626143,0.5237678670168029,0.4687679135084258,11.082714515193045,1.9752457670993575,0.141588609826824,1,0.4975999975204467,0.4992499962449074,False,-1.0416656965389517,-3.061227592911464,0.5299999713897705,False,-10.37735477721132,-9.9%,-9.928447475376723,False,1,False,False,False,False,False,False,False,40.0,True,False,False,False,False,False,True,True,True,False,True,False,False,False,818.HK
2026-02-27,0818.HK,0.4699999988079071,0.4749999940395355,0.4650000035762787,0.4749999940395355,0.4749999940395355,1380000,0.0,0.0,-0.0105263058828843,0.4874228672361731,0.4949742277819674,0.5012664124899548,0.5043726621341839,0.4854697000430641,False,False,False,False,0.0099999904632568,0.0109374895691871,0.0164062343537807,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,12.460423194943084,17.14285422344368,25.714298365077404,34.78259968171096,0.4942423763366068,0.519742354998144,0.4687423976750696,10.318815173456626,1.7143192601499118,0.1223298052079661,1,0.4973999971151352,0.4979999959468841,False,-2.0618597877583014,-5.000001192092896,0.5199999809265137,False,-8.653843949532288,-7.8%,-7.818737815645971,False,1,False,False,False,False,False,False,False,34.8,True,False,False,False,False,False,True,True,True,False,True,False,False,False,818.HK
2026-02-25,0839.HK,2.940000057220459,2.970000028610229,2.9100000858306885,2.930000066757202,2.930000066757202,4366000,0.0,0.0,-0.0102388978519624,2.977194762212208,3.013026351287144,3.0390945010332584,3.0298680846034305,3.145172141250048,False,False,False,False,0.0599999427795405,0.075624942779541,0.1134374141693115,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,24.06252812338465,18.018035627064943,18.018014147897805,37.20930232558141,3.008399811913938,3.1853996907973,2.831399933030576,11.767044937471594,1.7981824765083632,0.3152524106084408,1,3.083600001335144,3.005499994754792,False,-2.3333311080932617,-5.483865906618977,3.309999942779541,False,-11.480358990678338,17.3%,17.343076415769154,False,1,False,False,False,False,False,True,True,37.2,True,False,False,False,True,False,False,False,False,True,True,False,False,False,839.HK
2026-02-26,0839.HK,2.9200000762939453,2.9600000381469727,2.9200000762939453,2.940000057220459,2.940000057220459,4809052,0.0,0.0,-0.0136054289369108,2.9704320885773443,3.0066762387596064,3.035208444413149,3.028088519704758,3.1435373039271037,False,False,False,False,0.0399999618530273,0.0724999457597732,0.1087499186396598,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,24.593701813124436,18.867942776800227,14.150940213348791,44.73684210526318,3.001885549562178,3.173885433213912,2.8298856659104445,11.459456452416688,1.442357492920611,0.2638829784922079,1,3.0822000026702883,2.998500001430512,False,-2.325579184869846,-5.769225478877488,3.309999942779541,False,-11.17824446994939,17.3%,17.338926106947582,False,1,False,False,False,False,False,True,True,44.7,True,False,False,False,True,False,False,False,False,True,True,False,False,False,839.HK
2026-02-27,0839.HK,2.940000057220459,2.950000047683716,2.869999885559082,2.890000104904175,2.890000104904175,8156703,0.0,0.0,0.0034602041869438,2.9558080915458587,2.996530487989569,3.0295139997265226,3.0253540956493006,3.141517087201821,False,False,False,False,0.0800001621246337,0.0719999472300211,0.1079999208450317,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,24.44718442542508,18.26924531770895,19.23078333838444,38.09523809523815,2.9912297929280824,3.163229700421674,2.819229885434491,11.500280446539852,2.17673130112892,0.0074269519678619,1,3.0802000045776365,2.9920000076293944,False,-3.3444784051375938,-8.253967701322546,3.309999942779541,False,-12.688817073594128,17.8%,17.79874339190679,False,1,False,False,False,False,False,True,True,38.1,True,False,False,False,True,False,False,False,False,True,True,False,False,False,839.HK
