index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily_Range,Avg_Range,Turn_Threshold,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,LLLow,HHClose,HHHigh,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,BOSS_STATUS,SNO
2025-12-19,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.4235292322495404,0.8470584644990808,153.13066152723067,152.41142271675926,147.75034998122266,138.65872674273737,123.07877141239013,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-20,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.4058819939108455,0.8117639878216911,153.17963104891317,152.4973854280397,147.97190464456625,138.95063302300957,123.32037477879726,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-21,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.4000001795151654,0.8000003590303308,153.21969702119884,152.57587312094796,148.18477088973953,139.2367589809001,123.56005301877885,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-22,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.4000001795151654,0.8000003590303308,153.25247827125074,152.6475357970816,148.38928943902363,139.5172190782384,123.79782147198765,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-23,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.4055557250976562,0.8111114501953125,153.2792992940205,152.71296693616011,148.5857876530417,139.79212551028286,124.03369535584818,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-24,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.4157907586348684,0.8315815172697368,153.30124376719573,152.77270841097092,148.77458005474534,140.06158825060368,124.26768976653057,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-25,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.3947376451994243,0.7894752903988487,153.31919833615729,152.82725497492862,148.95596883285276,140.32571509507653,124.49981967991664,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-26,0011.HK,153.5,153.6999969482422,153.39999389648438,153.39999389648438,153.39999389648438,1566718,0.0,0.0,0.3000030517578125,0.3789480108963816,0.7578960217927632,153.33388843803493,152.87705835941173,149.1302443255442,140.5846117050054,124.73009995255862,True,True,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,11.HK
2025-12-18,0135.HK,7.46999979019165,7.489999771118164,7.320000171661377,7.400000095367432,7.400000095367432,12046539,0.0,0.0,0.1699995994567871,0.1331249773502349,0.1996874660253524,7.394639471228102,7.374408910878418,7.344237599468473,7.38576019969362,7.495278123548719,False,False,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,135.HK
2025-12-19,0135.HK,7.46999979019165,7.489999771118164,7.320000171661377,7.400000095367432,7.400000095367432,12046539,0.0,0.0,0.1699995994567871,0.1356249451637268,0.2034374177455902,7.3956141301625244,7.376634231268768,7.346424364013529,7.386042177825774,7.494518936073171,False,False,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,135.HK
2025-12-20,0135.HK,7.46999979019165,7.489999771118164,7.320000171661377,7.400000095367432,7.400000095367432,12046539,0.0,0.0,0.1699995994567871,0.1362498998641967,0.2043748497962951,7.396411578381597,7.378666045538218,7.348525373086232,7.38631857223254,7.493765797900218,False,False,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,135.HK
2025-12-21,0135.HK,7.46999979019165,7.489999771118164,7.320000171661377,7.400000095367432,7.400000095367432,12046539,0.0,0.0,0.1699995994567871,0.1387498676776886,0.2081248015165329,7.397064036015385,7.380521180305976,7.350543989646279,7.386589493482735,7.493018660828244,False,False,True,True,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,135.HK
