index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,SVM,MLP,RF,LR,DT,classification,HHHL_PATTERN,WLDate,WHDate,BOSS_PATTERN,LLDate,HHDate,SNO
2026-03-05,1128.HK,5.599999904632568,5.71999979019165,5.590000152587891,5.690000057220459,5.690000057220459,2337906,0.0,0.0,0.0,5.746519082886193,5.840456429186032,5.973140821798507,6.117188602689505,6.151032520771389,False,False,False,False,0.1299996376037597,0.1415788750899465,0.2123683126349198,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,31.48608923364183,4.5454414094353135,36.36362760629021,20.00001121969909,5.829513523609855,6.143513367207268,5.515513680012443,10.772763192870052,1.1244537833061476,1.2902838143719182,1,5.92420000076294,5.911500024795532,False,-8.959999084472656,-1.2152807097190998,6.239999771118164,False,-8.814098302429088,-7.8%,-7.806240520449437,True,2,True,True,False,False,False,True,False,20.0,True,False,True,False,False,False,False,False,False,True,True,,,,,,,,1128.HK
2026-03-05,1171.HK,14.029999732971191,14.06999969482422,13.600000381469728,13.9399995803833,13.9399995803833,27013440,0.0,0.0,0.0,13.80917728253507,13.160353022274776,12.174786025634656,11.344882209900916,10.44467992279247,True,True,True,False,0.4699993133544922,0.463749885559082,0.695624828338623,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,51.372848918348666,35.29413377996049,16.470581635470726,67.81609100904237,13.262629073951048,14.372628825995726,12.152629321906373,16.738758896979377,0.7809099916716206,0.6758098309428353,1,11.635799961090088,13.209999895095825,True,41.093111527480254,26.84258299092751,14.890000343322754,False,-6.380125863230552,-37.4%,-37.41720136773756,False,1,False,False,False,False,False,True,True,67.8,True,True,False,False,True,False,False,False,False,True,False,,,,,,,,1171.HK
2026-03-05,1277.HK,2.0999999046325684,2.289999961853028,2.0899999141693115,2.240000009536743,2.240000009536743,22398000,0.0,0.0,0.0,2.0521117271411,1.9223744442769148,1.7565240529043329,1.6170317134944274,1.429985181542489,True,True,True,False,0.2000000476837162,0.1093749850988388,0.1640624776482582,2.0899999141693115,2.240000009536743,2.289999961853028,0.1,1.820000052452088,1.649999976158142,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,1.9700000286102293,1.820000052452088,False,51.90118537121732,39.6226538165534,3.7735817935152247,77.3809496777944,1.940668433478532,2.180668407252488,1.7006684597045754,24.733743243689577,2.11452093697105,0.0787853410589622,1,1.6544000029563903,1.9229999840259555,True,62.31884183164556,49.33333396911621,2.2100000381469727,True,1.3574647453365971,-26.8%,-26.761142140476306,False,1,False,False,False,False,False,True,True,77.4,True,True,False,False,False,False,False,False,False,True,False,HH,HHLLHHHLHH,2026-02-23,2026-02-24,HHHLLH,2026-03-06,2026-03-07,1277.HK
2026-03-05,1308.HK,33.81999969482422,34.15999984741211,33.380001068115234,33.81999969482422,33.81999969482422,1254368,0.0,0.0,0.0,32.94007474592322,31.617373562157685,30.06559189595311,28.98589132877792,26.45364602291613,True,True,True,False,0.779998779296875,0.9647057477165673,1.4470586215748509,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,51.06315776012197,33.7579715333663,12.229312889146223,74.46301188587864,31.805788162331336,33.96178791819071,29.64978840647196,13.557279227639436,1.3053712097560652,1.7655168863432398,1,29.120799903869628,31.58300008773804,True,20.872052352153556,28.98550946032582,34.540000915527344,False,-2.0845431430763246,2.8%,2.796211444678365,True,2,True,True,False,False,False,True,True,74.5,True,True,True,False,True,False,False,False,False,True,False,,,,,,,,1308.HK
2026-03-04,1378.HK,36.77999877929688,38.91999816894531,36.77999877929688,38.91999816894531,38.91999816894531,54635951,0.0,0.0,0.0277492775402141,36.96369053316408,36.46066927278059,35.14327366887853,32.39607561368362,25.86239556734392,True,True,True,False,2.1399993896484304,1.6094118006089146,2.414117700913372,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,15.83388279440425,22.77467695523516,16.439449478278178,63.49206016509864,36.53825659117514,40.32025579771811,32.75625738463217,20.70158545800137,2.4162174862566776,0.92707382153553,1,35.222800178527834,36.22400016784668,True,24.10713460285549,9.080711423927688,41.36000061035156,False,-5.899425544968603,-14.8%,-14.778002105158162,True,2,False,True,False,True,False,False,True,63.5,True,True,False,True,False,False,False,False,False,True,False,,,,,,,,1378.HK
2026-03-05,1378.HK,40.220001220703125,41.20000076293945,39.7599983215332,40.0,40.0,38641228,0.0,0.0,0.0,37.51574679986152,36.76843716210402,35.333733525000945,32.546648373808694,25.975045801867072,True,True,True,False,1.44000244140625,1.532941257252412,2.2994118858786177,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,17.310446124951,27.18896081731794,15.745001267170904,64.10564467582972,36.86794643963465,40.50794582928309,33.22794704998621,19.74614667300959,2.561685340918453,0.0800435045546037,1,35.369200172424314,36.41800022125244,True,22.399019664834256,13.830394691990872,38.91999816894531,True,2.7749277540214083,-14.5%,-14.547013022918897,True,2,False,True,False,False,False,False,True,64.1,True,True,False,False,False,False,False,False,False,True,False,,,,,,,,1378.HK
2026-03-05,1415.HK,25.39999961853028,26.540000915527344,24.940000534057617,25.020000457763672,25.020000457763672,1306000,0.0,0.0,0.0,26.96191501883588,28.052516245213543,28.88924745399341,29.48669448033965,28.67899580345914,False,False,False,False,1.6000003814697266,1.1533331553141282,1.7299997329711925,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,30.637242132835222,13.708702074796332,37.57649968804219,17.66465595467136,27.936710635709623,30.664710704374176,25.20871056704507,19.529858788582885,1.9879516530688528,1.0652192070338895,1,28.854800148010256,28.43300018310547,False,-13.545266081390531,-18.92417380778969,32.400001525878906,False,-22.777780001709548,-11.6%,-11.598955161779134,False,1,False,False,False,False,False,True,False,17.7,True,False,False,False,False,False,False,True,False,True,True,,,,,,,,1415.HK
2026-03-04,1658.HK,4.880000114440918,4.900000095367432,4.789999961853027,4.840000152587891,4.840000152587891,56668484,0.0,0.0,0.0061982917407865,4.98546101920974,5.05522168942644,5.144495186490794,5.243891666748016,5.196550567953487,False,False,False,False,0.1100001335144043,0.0886665980021158,0.1329998970031738,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,4.820000171661377,4.960000038146973,False,25.013927579156974,12.31884508667724,39.13039421990485,21.739142453361534,5.047344302216568,5.245344256440201,4.849344347992935,7.845708252424154,2.0127679584740448,0.5430369315957102,1,5.126599988937378,5.089000010490418,False,-7.101725198656215,-5.098034449147888,5.289999961853027,False,-8.506612712857315,3.7%,3.685285298934948,False,1,False,False,False,False,False,True,False,21.7,True,False,False,False,False,False,False,False,False,True,False,LL,HLLHLLLHLL,2026-03-02,2026-03-03,,,,1658.HK
2026-03-05,1658.HK,4.849999904632568,4.920000076293945,4.849999904632568,4.869999885559082,4.869999885559082,9311000,0.0,0.0,0.0,4.964468085818711,5.039115445611887,5.133730664885629,5.236487869100711,5.193948570484209,False,False,False,False,0.0700001716613769,0.0866666158040364,0.1299999237060547,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,0.0,0.0,False,25.133983707847868,10.14491701997533,39.13039421990485,22.857127286945683,5.030454357772998,5.226454313903979,4.834454401642017,7.792534915981269,1.5604207234773926,1.9118977638078596,1,5.11899998664856,5.077500009536744,False,-7.238097417922247,-4.133859080725529,5.289999961853027,False,-7.939510006098828,2.4%,2.419560470033444,False,1,False,False,False,False,False,True,False,22.9,True,False,False,False,False,False,False,False,False,True,False,,,,,,,,1658.HK
2026-03-04,1833.HK,11.899999618530272,12.119999885559082,11.729999542236328,11.9399995803833,11.9399995803833,8344196,0.0,0.0,0.0117253222983999,12.868763327852498,13.606245522025278,14.361171928388556,14.599110984614745,13.566410312024658,False,False,False,False,0.3900003433227539,0.4582352918737072,0.687352937810561,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,13.449999809265137,14.739999771118164,False,54.11253288496157,10.3351911777144,37.84915830925289,24.39024957569255,13.509736971423044,14.553737215563668,12.46573672728242,15.455522877299291,2.132258859946628,0.3088332646594813,1,14.785999965667724,13.549500036239625,False,-9.954755850029466,-32.004556130306675,15.170000076293944,False,-21.29202689298692,48.3%,48.33651876658733,True,2,True,True,False,False,False,True,False,24.4,True,False,True,False,False,False,False,False,False,True,True,LL,LLHHHLLHLL,2026-02-03,2026-02-10,,,,1833.HK
