Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,EMA100,EMA250,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-15,AMAL,27.739999771118164,27.790000915527344,26.979999542236328,27.15999984741211,27.02122688293457,160200,0.0,0.0,27.1335547496126,27.439931292581026,28.193529844451422,False,False,LH,LHLLHH,25.1299991607666,2025-10-16,28.31999969482422,2025-10-24,28.780000686645508,26.200000762939453,26.200000762939453,SB1-2025/10/15,False,False,False,False,False,False,True,0.83,5,3,True,False,29.03210918689865,29.612447226806815,2.0,0.0,26.95,28.780000686645508,30.610001373291016,32.440002059936525,AMAL
2025-11-03,AMAL,27.100000381469727,27.530000686645508,26.81999969482422,27.51000022888184,27.36943817138672,135400,0.0,0.0,27.398190611224635,27.33332004047728,27.78729079530175,False,True,HL,HLLHHL,28.729999542236328,2025-11-16,28.420000076293945,2025-11-18,27.88999938964844,26.81999969482422,25.1299991607666,BY1-2025/10/15,True,False,False,False,False,False,False,0.0,0,0,False,False,28.601007052673552,29.36648299398617,,,,,,,AMAL
2025-11-11,AMAL,28.1299991607666,28.729999542236328,27.88999938964844,28.420000076293945,28.420000076293945,161700,0.0,0.0,27.84861651753139,27.608934479784576,27.82484364370861,False,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/10/15,False,True,False,False,False,False,False,0.0,0,0,False,False,28.527762527303626,29.299971872921557,,,,,,,AMAL
2025-10-17,ARTV,5.590000152587891,7.360000133514404,5.139999866485596,6.010000228881836,6.010000228881836,100333000,0.0,0.0,3.4447764247862835,3.1343998462906937,2.924777035696242,False,True,HH,HHHLHL,3.2799999713897705,2025-11-07,3.5899999141693115,2025-11-18,3.5299999713897705,2.75,2.7100000381469727,TP3-2025/06/10,False,False,True,True,False,False,False,0.0,0,0,False,False,2.994210544578697,4.794909488570456,,,,,,,ARTV
2025-11-06,BLZE,8.399999618530273,8.550000190734863,6.119999885559082,6.179999828338623,6.179999828338623,2654200,0.0,0.0,9.291188468395632,9.552564839620388,9.178928657841498,False,False,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/07/22,True,True,False,False,False,False,False,0.0,0,0,False,False,8.27361621712772,7.234663071052362,,,,,,,BLZE
2025-10-17,CLPS,1.2999999523162842,1.3300000429153442,1.2100000381469729,1.2200000286102295,1.2200000286102295,131900,0.0,0.0,1.1710733428745914,1.0987248740996356,1.048282912108411,False,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/19,True,False,False,False,False,False,False,0.0,0,0,False,False,1.0310200659679023,1.0551533364877683,,,,,,,CLPS
2025-10-20,CLPS,1.2200000286102295,1.2200000286102295,0.8899999856948853,0.949999988079071,0.949999988079071,222300,0.0,0.0,1.130878187457224,1.0857922753152387,1.0444286797935347,False,True,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/19,False,False,False,False,True,False,False,0.0,0,0,False,False,1.0294157079899056,1.0543154612016432,,,,,,,CLPS
2025-10-30,CREV,6.409999847412109,6.525000095367432,4.809999942779541,4.820000171661377,4.820000171661377,273700,0.0,0.0,5.407949954690834,4.977834492208725,4.581157197193559,False,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/03,True,False,False,False,False,False,False,0.0,0,0,False,False,4.264003281637547,5.1142056858547305,,,,,,,CREV
2025-11-10,CREV,3.809999942779541,4.019999980926514,2.75,2.859999895095825,2.859999895095825,173000,0.0,0.0,4.274088532895281,4.522876322244978,4.453928482344136,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/10/03,False,False,False,False,True,False,False,0.0,0,0,False,False,4.2398111285920965,5.058418164510003,,,,,,,CREV
2025-10-16,CZWI,15.869999885559082,15.920000076293944,15.06999969482422,15.109999656677246,15.109999656677246,13700,0.0,0.0,15.78173327588082,15.943466776732112,15.868467147924587,False,False,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/07/22,True,True,False,False,False,False,False,0.0,0,0,False,False,15.54137444915562,14.849244956196408,,,,,,,CZWI
